attendance_id,student_id,date,subject,status,present_flag
ATT000076,STU0002,2026-05-01,Circuits,Present,1
ATT000077,STU0002,2026-03-26,Power Systems,Present,1
ATT000078,STU0002,2026-07-25,Machines,Present,1
ATT000079,STU0002,2026-04-21,Control Systems,Present,1
ATT000080,STU0002,2026-01-16,Machines,Present,1
ATT000081,STU0002,2026-07-14,Power Systems,Present,1
ATT000082,STU0002,2026-05-08,Machines,Absent,0
ATT000083,STU0002,2026-03-30,Machines,Absent,0
ATT000084,STU0002,2026-07-21,Control Systems,Present,1
ATT000085,STU0002,2026-05-16,Power Systems,Absent,0
ATT000086,STU0002,2026-07-27,Machines,Absent,0
ATT000087,STU0002,2026-01-30,Circuits,Present,1
ATT000088,STU0002,2026-08-10,Circuits,Absent,0
ATT000089,STU0002,2026-04-04,Machines,Present,1
ATT000090,STU0002,2026-08-24,Power Systems,Present,1
ATT000091,STU0002,2026-06-24,Control Systems,Present,1
ATT000092,STU0002,2026-04-28,Control Systems,Absent,0
ATT000093,STU0002,2026-08-01,Machines,Present,1
ATT000094,STU0002,2026-02-02,Control Systems,Present,1
ATT000095,STU0002,2026-02-06,Circuits,Present,1
ATT000096,STU0002,2026-01-08,Circuits,Present,1
ATT000097,STU0002,2026-01-29,Control Systems,Present,1
ATT000098,STU0002,2026-07-18,Circuits,Present,1
ATT000099,STU0002,2026-03-06,Power Systems,Present,1
ATT000100,STU0002,2026-05-10,Control Systems,Present,1
ATT000101,STU0003,2026-05-04,Mechanics,Present,1
ATT000102,STU0003,2026-04-21,Manufacturing,Present,1
ATT000103,STU0003,2026-04-02,CAD,Present,1
ATT000104,STU0003,2026-02-26,CAD,Present,1
ATT000105,STU0003,2026-08-24,CAD,Absent,0
ATT000106,STU0003,2026-06-30,CAD,Present,1
ATT000107,STU0003,2026-04-04,Mechanics,Present,1
ATT000108,STU0003,2026-06-11,Manufacturing,Present,1
ATT000109,STU0003,2026-04-05,Mechanics,Present,1
ATT000110,STU0003,2026-07-17,Thermodynamics,Present,1
ATT000111,STU0003,2026-08-05,Manufacturing,Present,1
ATT000112,STU0003,2026-01-08,Manufacturing,Present,1
ATT000113,STU0003,2026-04-18,Manufacturing,Present,1
ATT000114,STU0003,2026-01-23,CAD,Present,1
ATT000115,STU0003,2026-03-04,CAD,Present,1
ATT000116,STU0003,2026-06-24,Manufacturing,Absent,0
ATT000117,STU0003,2026-06-22,Mechanics,Present,1
ATT000118,STU0003,2026-03-03,Thermodynamics,Present,1
ATT000119,STU0003,2026-08-28,Mechanics,Present,1
ATT000120,STU0003,2026-05-20,Mechanics,Present,1
ATT000121,STU0003,2026-03-22,Mechanics,Present,1
ATT000122,STU0003,2026-05-14,CAD,Absent,0
ATT000123,STU0003,2026-05-11,CAD,Present,1
ATT000124,STU0003,2026-07-28,CAD,Absent,0
ATT000125,STU0003,2026-01-13,Manufacturing,Present,1
ATT000126,STU0003,2026-08-10,CAD,Present,1
ATT000127,STU0003,2026-05-16,CAD,Present,1
ATT000128,STU0003,2026-02-03,Thermodynamics,Present,1
ATT000129,STU0003,2026-01-19,Manufacturing,Present,1
ATT000130,STU0003,2026-05-23,CAD,Present,1
ATT000131,STU0003,2026-04-16,CAD,Present,1
ATT000132,STU0003,2026-08-21,Mechanics,Present,1
ATT000133,STU0003,2026-07-08,CAD,Present,1
ATT000134,STU0003,2026-08-22,Thermodynamics,Absent,0
ATT000135,STU0003,2026-04-24,Mechanics,Absent,0
ATT000136,STU0003,2026-02-07,Thermodynamics,Present,1
ATT000137,STU0003,2026-02-09,Mechanics,Present,1
ATT000138,STU0003,2026-03-05,Manufacturing,Present,1
ATT000139,STU0003,2026-07-11,Mechanics,Present,1
ATT000140,STU0003,2026-06-06,CAD,Present,1
ATT000141,STU0003,2026-08-11,Mechanics,Present,1
ATT000142,STU0003,2026-08-19,CAD,Present,1
ATT000143,STU0003,2026-07-12,Manufacturing,Present,1
ATT000144,STU0003,2026-04-09,Mechanics,Absent,0
ATT000145,STU0003,2026-04-06,Thermodynamics,Present,1
ATT000146,STU0003,2026-08-15,Mechanics,Present,1
ATT000147,STU0003,2026-05-27,Manufacturing,Present,1
ATT000148,STU0003,2026-02-02,Thermodynamics,Present,1
ATT000149,STU0003,2026-07-03,Thermodynamics,Absent,0
ATT000150,STU0003,2026-01-09,CAD,Present,1
ATT000151,STU0004,2026-03-21,DBMS,Present,1
ATT000152,STU0004,2026-07-23,DBMS,Present,1
ATT000153,STU0004,2026-05-25,DBMS,Absent,0
ATT000154,STU0004,2026-03-23,DBMS,Present,1
ATT000155,STU0004,2026-02-24,Web Development,Present,1
ATT000156,STU0004,2026-06-08,Networks,Present,1
ATT000157,STU0004,2026-04-06,DBMS,Present,1
ATT000158,STU0004,2026-03-12,DBMS,Present,1
ATT000159,STU0004,2026-06-11,Web Development,Absent,0
ATT000160,STU0004,2026-03-24,Python,Present,1
ATT000161,STU0004,2026-01-07,DBMS,Present,1
ATT000162,STU0004,2026-01-14,DBMS,Present,1
ATT000163,STU0004,2026-03-09,Python,Present,1
ATT000164,STU0004,2026-06-21,Python,Present,1
ATT000165,STU0004,2026-08-22,Web Development,Present,1
ATT000166,STU0004,2026-01-10,Networks,Absent,0
ATT000167,STU0004,2026-05-16,Networks,Absent,0
ATT000168,STU0004,2026-02-22,Python,Present,1
ATT000169,STU0004,2026-07-06,DBMS,Present,1
ATT000170,STU0004,2026-07-28,Python,Present,1
ATT000171,STU0004,2026-01-04,Python,Present,1
ATT000172,STU0004,2026-06-12,Web Development,Present,1
ATT000173,STU0004,2026-02-28,Web Development,Present,1
ATT000174,STU0004,2026-02-05,DBMS,Present,1
ATT000175,STU0004,2026-04-12,Python,Present,1
ATT000176,STU0004,2026-08-26,DBMS,Present,1
ATT000177,STU0004,2026-08-24,Web Development,Present,1
ATT000178,STU0004,2026-04-28,Networks,Present,1
ATT000179,STU0004,2026-04-21,DBMS,Present,1
ATT000180,STU0004,2026-04-08,DBMS,Present,1
ATT000181,STU0004,2026-01-15,Networks,Present,1
ATT000182,STU0004,2026-04-20,DBMS,Present,1
ATT000183,STU0004,2026-08-19,DBMS,Present,1
ATT000184,STU0004,2026-07-31,Web Development,Present,1
ATT000185,STU0004,2026-07-27,DBMS,Absent,0
ATT000186,STU0004,2026-08-07,Web Development,Present,1
ATT000187,STU0004,2026-02-25,Python,Present,1
ATT000188,STU0004,2026-01-16,Web Development,Present,1
ATT000189,STU0004,2026-02-18,Python,Absent,0
ATT000190,STU0004,2026-08-13,Web Development,Present,1
ATT000191,STU0004,2026-01-08,Web Development,Present,1
ATT000192,STU0004,2026-08-06,Networks,Present,1
ATT000193,STU0004,2026-04-24,Networks,Absent,0
ATT000194,STU0004,2026-08-02,Web Development,Present,1
ATT000195,STU0004,2026-02-23,Python,Absent,0
ATT000196,STU0004,2026-07-11,Web Development,Present,1
ATT000197,STU0004,2026-03-16,DBMS,Present,1
ATT000198,STU0004,2026-08-10,Networks,Present,1
ATT000199,STU0004,2026-02-16,Networks,Present,1
ATT000200,STU0004,2026-07-18,Web Development,Present,1
ATT000201,STU0005,2026-08-31,Signals,Present,1
ATT000202,STU0005,2026-05-25,Networks,Present,1
ATT000203,STU0005,2026-03-15,Networks,Present,1
ATT000204,STU0005,2026-02-15,Signals,Absent,0
ATT000205,STU0005,2026-01-13,Digital Electronics,Present,1
ATT000206,STU0005,2026-02-07,Signals,Present,1
ATT000207,STU0005,2026-05-02,Microprocessors,Present,1
ATT000208,STU0005,2026-02-20,Signals,Present,1
ATT000209,STU0005,2026-04-08,Microprocessors,Present,1
ATT000210,STU0005,2026-01-17,Networks,Present,1
ATT000211,STU0005,2026-02-01,Signals,Present,1
ATT000212,STU0005,2026-02-24,Digital Electronics,Present,1
ATT000213,STU0005,2026-08-22,Microprocessors,Present,1
ATT000214,STU0005,2026-03-18,Networks,Present,1
ATT000215,STU0005,2026-03-09,Digital Electronics,Absent,0
ATT000216,STU0005,2026-04-19,Signals,Present,1
ATT000217,STU0005,2026-03-14,Microprocessors,Present,1
ATT000218,STU0005,2026-06-13,Digital Electronics,Absent,0
ATT000219,STU0005,2026-05-13,Digital Electronics,Present,1
ATT000220,STU0005,2026-08-20,Signals,Present,1
ATT000221,STU0005,2026-07-11,Signals,Present,1
ATT000222,STU0005,2026-08-15,Networks,Present,1
ATT000223,STU0005,2026-01-01,Digital Electronics,Present,1
ATT000224,STU0005,2026-04-04,Networks,Present,1
ATT000225,STU0005,2026-02-23,Signals,Present,1
ATT000226,STU0005,2026-07-04,Digital Electronics,Present,1
ATT000227,STU0005,2026-04-27,Microprocessors,Absent,0
ATT000228,STU0005,2026-08-24,Digital Electronics,Present,1
ATT000229,STU0005,2026-06-11,Networks,Present,1
ATT000230,STU0005,2026-05-08,Microprocessors,Present,1
ATT000231,STU0005,2026-03-01,Signals,Present,1
ATT000232,STU0005,2026-02-05,Microprocessors,Present,1
ATT000233,STU0005,2026-05-30,Microprocessors,Present,1
ATT000234,STU0005,2026-06-02,Digital Electronics,Present,1
ATT000235,STU0005,2026-06-22,Microprocessors,Present,1
ATT000236,STU0005,2026-08-05,Microprocessors,Present,1
ATT000237,STU0005,2026-08-02,Networks,Present,1
ATT000238,STU0005,2026-07-14,Microprocessors,Present,1
ATT000239,STU0005,2026-01-03,Signals,Present,1
ATT000240,STU0005,2026-01-22,Microprocessors,Present,1
ATT000241,STU0005,2026-08-28,Digital Electronics,Absent,0
ATT000242,STU0005,2026-03-05,Networks,Present,1
ATT000243,STU0005,2026-06-23,Microprocessors,Present,1
ATT000244,STU0005,2026-02-02,Networks,Absent,0
ATT000245,STU0005,2026-07-29,Microprocessors,Present,1
ATT000246,STU0005,2026-07-01,Digital Electronics,Present,1
ATT000247,STU0005,2026-03-21,Digital Electronics,Present,1
ATT000248,STU0005,2026-02-25,Networks,Present,1
ATT000249,STU0005,2026-08-04,Microprocessors,Absent,0
ATT000250,STU0005,2026-01-10,Signals,Present,1
ATT000251,STU0006,2026-03-07,Thermodynamics,Absent,0
ATT000252,STU0006,2026-03-13,Thermodynamics,Absent,0
ATT000253,STU0006,2026-05-08,Manufacturing,Present,1
ATT000254,STU0006,2026-05-14,CAD,Present,1
ATT000255,STU0006,2026-04-18,Mechanics,Absent,0
ATT000256,STU0006,2026-03-21,Mechanics,Absent,0
ATT000257,STU0006,2026-08-14,Mechanics,Present,1
ATT000258,STU0006,2026-08-28,Manufacturing,Present,1
ATT000259,STU0006,2026-01-26,Thermodynamics,Present,1
ATT000260,STU0006,2026-04-08,Thermodynamics,Present,1
ATT000261,STU0006,2026-08-08,Mechanics,Absent,0
ATT000262,STU0006,2026-01-27,Thermodynamics,Present,1
ATT000263,STU0006,2026-06-11,Mechanics,Present,1
ATT000264,STU0006,2026-06-13,CAD,Present,1
ATT000265,STU0006,2026-03-29,Thermodynamics,Present,1
ATT000266,STU0006,2026-05-12,Thermodynamics,Present,1
ATT000267,STU0006,2026-05-15,Manufacturing,Present,1
ATT000268,STU0006,2026-01-15,Thermodynamics,Present,1
ATT000269,STU0006,2026-06-12,Mechanics,Present,1
ATT000270,STU0006,2026-05-28,CAD,Present,1
ATT000271,STU0006,2026-03-23,Thermodynamics,Absent,0
ATT000272,STU0006,2026-05-11,Thermodynamics,Present,1
ATT000273,STU0006,2026-05-22,Thermodynamics,Present,1
ATT000274,STU0006,2026-01-02,CAD,Present,1
ATT000275,STU0006,2026-08-04,Manufacturing,Present,1
ATT000276,STU0006,2026-02-26,Thermodynamics,Present,1
ATT000277,STU0006,2026-04-27,Thermodynamics,Present,1
ATT000278,STU0006,2026-02-10,CAD,Present,1
ATT000279,STU0006,2026-03-09,Manufacturing,Present,1
ATT000280,STU0006,2026-01-05,Manufacturing,Absent,0
ATT000281,STU0006,2026-07-21,Thermodynamics,Absent,0
ATT000282,STU0006,2026-08-09,CAD,Absent,0
ATT000283,STU0006,2026-07-03,Manufacturing,Present,1
ATT000284,STU0006,2026-01-13,Manufacturing,Present,1
ATT000285,STU0006,2026-08-29,Thermodynamics,Present,1
ATT000286,STU0006,2026-01-04,CAD,Present,1
ATT000287,STU0006,2026-02-04,Manufacturing,Present,1
ATT000288,STU0006,2026-05-27,CAD,Present,1
ATT000289,STU0006,2026-01-09,Mechanics,Present,1
ATT000290,STU0006,2026-06-06,Thermodynamics,Present,1
ATT000291,STU0006,2026-02-20,Mechanics,Present,1
ATT000292,STU0006,2026-05-04,CAD,Present,1
ATT000293,STU0006,2026-06-10,Mechanics,Present,1
ATT000294,STU0006,2026-07-09,Thermodynamics,Present,1
ATT000295,STU0006,2026-06-07,Manufacturing,Absent,0
ATT000296,STU0006,2026-01-29,Manufacturing,Present,1
ATT000297,STU0006,2026-07-11,Thermodynamics,Absent,0
ATT000298,STU0006,2026-07-10,Manufacturing,Present,1
ATT000299,STU0006,2026-03-01,Thermodynamics,Absent,0
ATT000300,STU0006,2026-01-25,Manufacturing,Present,1
ATT000301,STU0007,2026-08-29,Mechanics,Absent,0
ATT000302,STU0007,2026-08-05,Thermodynamics,Present,1
ATT000303,STU0007,2026-08-06,Thermodynamics,Present,1
ATT000304,STU0007,2026-06-20,Manufacturing,Present,1
ATT000305,STU0007,2026-06-16,Mechanics,Absent,0
ATT000306,STU0007,2026-04-28,CAD,Absent,0
ATT000307,STU0007,2026-07-22,CAD,Present,1
ATT000308,STU0007,2026-03-19,Thermodynamics,Absent,0
ATT000309,STU0007,2026-04-22,CAD,Present,1
ATT000310,STU0007,2026-06-11,Thermodynamics,Absent,0
ATT000311,STU0007,2026-08-13,CAD,Present,1
ATT000312,STU0007,2026-05-27,Manufacturing,Present,1
ATT000313,STU0007,2026-01-21,Manufacturing,Present,1
ATT000314,STU0007,2026-07-25,Thermodynamics,Present,1
ATT000315,STU0007,2026-07-28,CAD,Present,1
ATT000316,STU0007,2026-04-06,Mechanics,Present,1
ATT000317,STU0007,2026-08-01,Mechanics,Present,1
ATT000318,STU0007,2026-04-13,Mechanics,Present,1
ATT000319,STU0007,2026-06-24,Thermodynamics,Present,1
ATT000320,STU0007,2026-01-27,Mechanics,Absent,0
ATT000321,STU0007,2026-08-19,Manufacturing,Absent,0
ATT000322,STU0007,2026-07-27,Thermodynamics,Present,1
ATT000323,STU0007,2026-04-01,Thermodynamics,Present,1
ATT000324,STU0007,2026-03-05,Manufacturing,Present,1
ATT000325,STU0007,2026-05-11,Thermodynamics,Present,1
ATT000326,STU0007,2026-08-24,Mechanics,Present,1
ATT000327,STU0007,2026-03-24,Mechanics,Absent,0
ATT000328,STU0007,2026-07-30,Thermodynamics,Present,1
ATT000329,STU0007,2026-06-17,Thermodynamics,Present,1
ATT000330,STU0007,2026-08-27,CAD,Present,1
ATT000331,STU0007,2026-04-08,CAD,Present,1
ATT000332,STU0007,2026-08-02,Thermodynamics,Present,1
ATT000333,STU0007,2026-02-10,Mechanics,Present,1
ATT000334,STU0007,2026-02-13,Thermodynamics,Present,1
ATT000335,STU0007,2026-07-06,Thermodynamics,Present,1
ATT000336,STU0007,2026-01-25,CAD,Present,1
ATT000337,STU0007,2026-01-13,CAD,Present,1
ATT000338,STU0007,2026-08-28,Mechanics,Present,1
ATT000339,STU0007,2026-04-24,Thermodynamics,Present,1
ATT000340,STU0007,2026-01-04,Thermodynamics,Present,1
ATT000341,STU0007,2026-05-03,CAD,Absent,0
ATT000342,STU0007,2026-04-09,Mechanics,Present,1
ATT000343,STU0007,2026-03-13,Mechanics,Present,1
ATT000344,STU0007,2026-03-10,CAD,Absent,0
ATT000345,STU0007,2026-01-20,CAD,Present,1
ATT000346,STU0007,2026-06-06,CAD,Present,1
ATT000347,STU0007,2026-03-27,CAD,Present,1
ATT000348,STU0007,2026-07-13,Manufacturing,Present,1
ATT000349,STU0007,2026-01-08,Thermodynamics,Present,1
ATT000350,STU0007,2026-03-11,CAD,Present,1
ATT000351,STU0008,2026-04-30,DBMS,Present,1
ATT000352,STU0008,2026-02-01,DBMS,Present,1
ATT000353,STU0008,2026-03-28,Python,Present,1
ATT000354,STU0008,2026-06-20,DBMS,Present,1
ATT000355,STU0008,2026-03-02,Web Development,Present,1
ATT000356,STU0008,2026-03-05,Python,Present,1
ATT000357,STU0008,2026-05-05,DBMS,Present,1
ATT000358,STU0008,2026-07-21,Web Development,Present,1
ATT000359,STU0008,2026-08-24,Python,Absent,0
ATT000360,STU0008,2026-08-16,DBMS,Absent,0
ATT000361,STU0008,2026-06-25,Python,Present,1
ATT000362,STU0008,2026-03-22,Networks,Present,1
ATT000363,STU0008,2026-04-03,Networks,Present,1
ATT000364,STU0008,2026-02-03,Python,Absent,0
ATT000365,STU0008,2026-07-27,DBMS,Present,1
ATT000366,STU0008,2026-02-09,DBMS,Present,1
ATT000367,STU0008,2026-04-26,Networks,Absent,0
ATT000368,STU0008,2026-03-06,DBMS,Present,1
ATT000369,STU0008,2026-01-06,Python,Present,1
ATT000370,STU0008,2026-08-06,Web Development,Present,1
ATT000371,STU0008,2026-01-01,Web Development,Present,1
ATT000372,STU0008,2026-05-13,Networks,Absent,0
ATT000373,STU0008,2026-08-26,Web Development,Present,1
ATT000374,STU0008,2026-06-11,Networks,Present,1
ATT000375,STU0008,2026-01-27,Python,Present,1
ATT000376,STU0008,2026-04-17,Networks,Present,1
ATT000377,STU0008,2026-06-26,Python,Present,1
ATT000378,STU0008,2026-02-05,Web Development,Absent,0
ATT000379,STU0008,2026-05-14,Python,Present,1
ATT000380,STU0008,2026-07-12,Networks,Present,1
ATT000381,STU0008,2026-02-06,Web Development,Present,1
ATT000382,STU0008,2026-01-05,DBMS,Present,1
ATT000383,STU0008,2026-03-01,DBMS,Present,1
ATT000384,STU0008,2026-05-17,Python,Present,1
ATT000385,STU0008,2026-07-30,DBMS,Present,1
ATT000386,STU0008,2026-05-23,Web Development,Absent,0
ATT000387,STU0008,2026-08-14,Web Development,Present,1
ATT000388,STU0008,2026-05-15,DBMS,Present,1
ATT000389,STU0008,2026-07-11,DBMS,Absent,0
ATT000390,STU0008,2026-01-02,Web Development,Present,1
ATT000391,STU0008,2026-06-30,Networks,Present,1
ATT000392,STU0008,2026-04-05,Networks,Present,1
ATT000393,STU0008,2026-05-22,Python,Present,1
ATT000394,STU0008,2026-05-26,Web Development,Present,1
ATT000395,STU0008,2026-05-31,Web Development,Present,1
ATT000396,STU0008,2026-04-29,DBMS,Present,1
ATT000397,STU0008,2026-05-07,Python,Present,1
ATT000398,STU0008,2026-02-19,Python,Present,1
ATT000399,STU0008,2026-08-23,DBMS,Present,1
ATT000400,STU0008,2026-08-27,Networks,Absent,0
ATT000401,STU0009,2026-05-24,DBMS,Present,1
ATT000402,STU0009,2026-08-28,DBMS,Present,1
ATT000403,STU0009,2026-02-02,Machine Learning,Present,1
ATT000404,STU0009,2026-04-10,Python,Present,1
ATT000405,STU0009,2026-05-21,Statistics,Present,1
ATT000406,STU0009,2026-05-02,Statistics,Present,1
ATT000407,STU0009,2026-07-18,DBMS,Present,1
ATT000408,STU0009,2026-07-25,Python,Absent,0
ATT000409,STU0009,2026-04-25,Machine Learning,Absent,0
ATT000410,STU0009,2026-03-10,Statistics,Present,1
ATT000411,STU0009,2026-03-26,Machine Learning,Present,1
ATT000412,STU0009,2026-02-15,DBMS,Present,1
ATT000413,STU0009,2026-01-12,DBMS,Absent,0
ATT000414,STU0009,2026-05-26,Python,Present,1
ATT000415,STU0009,2026-04-18,Machine Learning,Present,1
ATT000416,STU0009,2026-03-16,Machine Learning,Present,1
ATT000417,STU0009,2026-07-22,DBMS,Present,1
ATT000418,STU0009,2026-02-24,Python,Present,1
ATT000419,STU0009,2026-03-18,Machine Learning,Present,1
ATT000420,STU0009,2026-05-14,DBMS,Present,1
ATT000421,STU0009,2026-03-30,Python,Present,1
ATT000422,STU0009,2026-01-04,DBMS,Present,1
ATT000423,STU0009,2026-08-09,Statistics,Present,1
ATT000424,STU0009,2026-06-19,Machine Learning,Absent,0
ATT000425,STU0009,2026-02-17,Machine Learning,Present,1
ATT000426,STU0009,2026-06-16,Python,Present,1
ATT000427,STU0009,2026-07-29,Statistics,Present,1
ATT000428,STU0009,2026-02-19,Python,Present,1
ATT000429,STU0009,2026-04-04,Statistics,Absent,0
ATT000430,STU0009,2026-02-11,Python,Present,1
ATT000431,STU0009,2026-08-20,Machine Learning,Absent,0
ATT000432,STU0009,2026-04-21,DBMS,Present,1
ATT000433,STU0009,2026-08-18,Statistics,Present,1
ATT000434,STU0009,2026-05-09,DBMS,Present,1
ATT000435,STU0009,2026-07-03,DBMS,Present,1
ATT000436,STU0009,2026-04-09,Python,Present,1
ATT000437,STU0009,2026-07-08,DBMS,Present,1
ATT000438,STU0009,2026-08-15,Statistics,Present,1
ATT000439,STU0009,2026-05-16,DBMS,Present,1
ATT000440,STU0009,2026-02-05,Machine Learning,Present,1
ATT000441,STU0009,2026-06-03,DBMS,Present,1
ATT000442,STU0009,2026-03-01,Machine Learning,Present,1
ATT000443,STU0009,2026-08-05,Python,Present,1
ATT000444,STU0009,2026-02-09,DBMS,Absent,0
ATT000445,STU0009,2026-05-23,Statistics,Present,1
ATT000446,STU0009,2026-07-28,Machine Learning,Present,1
ATT000447,STU0009,2026-05-22,Machine Learning,Present,1
ATT000448,STU0009,2026-07-15,Machine Learning,Present,1
ATT000449,STU0009,2026-06-14,DBMS,Present,1
ATT000450,STU0009,2026-08-30,DBMS,Present,1
ATT000451,STU0010,2026-04-19,Microprocessors,Present,1
ATT000452,STU0010,2026-02-11,Microprocessors,Present,1
ATT000453,STU0010,2026-05-22,Digital Electronics,Absent,0
ATT000454,STU0010,2026-01-09,Microprocessors,Present,1
ATT000455,STU0010,2026-01-05,Networks,Present,1
ATT000456,STU0010,2026-01-08,Networks,Present,1
ATT000457,STU0010,2026-08-17,Signals,Present,1
ATT000458,STU0010,2026-02-03,Networks,Present,1
ATT000459,STU0010,2026-03-01,Microprocessors,Present,1
ATT000460,STU0010,2026-04-02,Signals,Present,1
ATT000461,STU0010,2026-06-21,Digital Electronics,Absent,0
ATT000462,STU0010,2026-06-17,Digital Electronics,Present,1
ATT000463,STU0010,2026-06-27,Microprocessors,Absent,0
ATT000464,STU0010,2026-05-13,Digital Electronics,Present,1
ATT000465,STU0010,2026-01-13,Signals,Present,1
ATT000466,STU0010,2026-01-30,Microprocessors,Present,1
ATT000467,STU0010,2026-01-16,Networks,Present,1
ATT000468,STU0010,2026-06-20,Digital Electronics,Present,1
ATT000469,STU0010,2026-02-07,Microprocessors,Present,1
ATT000470,STU0010,2026-07-12,Microprocessors,Absent,0
ATT000471,STU0010,2026-03-25,Digital Electronics,Present,1
ATT000472,STU0010,2026-02-09,Signals,Present,1
ATT000473,STU0010,2026-03-19,Signals,Present,1
ATT000474,STU0010,2026-05-19,Networks,Present,1
ATT000475,STU0010,2026-03-03,Signals,Present,1
ATT000476,STU0010,2026-07-10,Microprocessors,Absent,0
ATT000477,STU0010,2026-01-20,Digital Electronics,Present,1
ATT000478,STU0010,2026-06-15,Microprocessors,Present,1
ATT000479,STU0010,2026-07-14,Networks,Present,1
ATT000480,STU0010,2026-04-07,Networks,Present,1
ATT000481,STU0010,2026-04-03,Microprocessors,Present,1
ATT000482,STU0010,2026-08-26,Digital Electronics,Present,1
ATT000483,STU0010,2026-07-07,Networks,Present,1
ATT000484,STU0010,2026-05-18,Signals,Present,1
ATT000485,STU0010,2026-01-24,Microprocessors,Absent,0
ATT000486,STU0010,2026-03-11,Digital Electronics,Present,1
ATT000487,STU0010,2026-04-24,Digital Electronics,Present,1
ATT000488,STU0010,2026-06-26,Digital Electronics,Present,1
ATT000489,STU0010,2026-05-14,Networks,Present,1
