cost_id,date,department,expense_category,amount,cost_month
COST000109,2026-01-10,Administration,Cleaning,4452.91,2026-01
COST000110,2026-01-10,Administration,Other,3549.84,2026-01
COST000111,2026-01-10,Hostel,Transport,7527.68,2026-01
COST000112,2026-01-10,Hostel,Maintenance,6567.04,2026-01
COST000113,2026-01-10,Canteen,Food,10716.52,2026-01
COST000114,2026-01-10,Canteen,Internet,2967.64,2026-01
COST000115,2026-01-10,Academic,Internet,3415.47,2026-01
COST000116,2026-01-10,Academic,Water,6099.81,2026-01
COST000117,2026-01-10,Maintenance,Food,15515.37,2026-01
COST000118,2026-01-10,Maintenance,Cleaning,5208.61,2026-01
COST000119,2026-01-10,Transport,Internet,2866.17,2026-01
COST000120,2026-01-10,Transport,Food,12951.82,2026-01
COST000121,2026-01-11,Administration,Transport,7277.06,2026-01
COST000122,2026-01-11,Administration,Water,6809.49,2026-01
COST000123,2026-01-11,Hostel,Water,3499.62,2026-01
COST000124,2026-01-11,Hostel,Maintenance,7414.05,2026-01
COST000125,2026-01-11,Canteen,Electricity,14783.49,2026-01
COST000126,2026-01-11,Canteen,Internet,2675.47,2026-01
COST000127,2026-01-11,Academic,Electricity,13392.22,2026-01
COST000128,2026-01-11,Academic,Transport,5056.95,2026-01
COST000129,2026-01-11,Maintenance,Internet,2415.75,2026-01
COST000130,2026-01-11,Maintenance,Water,4726.96,2026-01
COST000131,2026-01-11,Transport,Cleaning,3867.92,2026-01
COST000132,2026-01-11,Transport,Water,6047.65,2026-01
COST000133,2026-01-12,Administration,Water,4561.7,2026-01
COST000134,2026-01-12,Administration,Cleaning,2094.17,2026-01
COST000135,2026-01-12,Hostel,Maintenance,10018.17,2026-01
COST000136,2026-01-12,Hostel,Electricity,16422.05,2026-01
COST000137,2026-01-12,Canteen,Water,7332.12,2026-01
COST000138,2026-01-12,Canteen,Maintenance,7859.87,2026-01
COST000139,2026-01-12,Academic,Other,2859.99,2026-01
COST000140,2026-01-12,Academic,Food,9336.81,2026-01
COST000141,2026-01-12,Maintenance,Electricity,13773.15,2026-01
COST000142,2026-01-12,Maintenance,Cleaning,3944.2,2026-01
COST000143,2026-01-12,Transport,Cleaning,4447.57,2026-01
COST000144,2026-01-12,Transport,Water,5396.73,2026-01
COST000145,2026-01-13,Administration,Other,2288.16,2026-01
COST000146,2026-01-13,Administration,Cleaning,5691.42,2026-01
COST000147,2026-01-13,Hostel,Other,3569.51,2026-01
COST000148,2026-01-13,Hostel,Food,11813.61,2026-01
COST000149,2026-01-13,Canteen,Food,10781.01,2026-01
COST000150,2026-01-13,Canteen,Water,6086.3,2026-01
COST000151,2026-01-13,Academic,Cleaning,4036.42,2026-01
COST000152,2026-01-13,Academic,Maintenance,8351.64,2026-01
COST000153,2026-01-13,Maintenance,Electricity,14527.0,2026-01
COST000154,2026-01-13,Maintenance,Maintenance,7111.96,2026-01
COST000155,2026-01-13,Transport,Other,3530.7,2026-01
COST000156,2026-01-13,Transport,Cleaning,3978.02,2026-01
COST000157,2026-01-14,Administration,Electricity,15859.89,2026-01
COST000158,2026-01-14,Administration,Transport,4479.7,2026-01
COST000159,2026-01-14,Hostel,Transport,7102.78,2026-01
COST000160,2026-01-14,Hostel,Maintenance,9679.45,2026-01
COST000161,2026-01-14,Canteen,Water,6209.81,2026-01
COST000162,2026-01-14,Canteen,Food,10535.57,2026-01
COST000163,2026-01-14,Academic,Electricity,20635.09,2026-01
COST000164,2026-01-14,Academic,Water,5012.66,2026-01
COST000165,2026-01-14,Maintenance,Internet,1923.18,2026-01
COST000166,2026-01-14,Maintenance,Water,5461.73,2026-01
COST000167,2026-01-14,Transport,Transport,6973.39,2026-01
COST000168,2026-01-14,Transport,Food,13606.27,2026-01
COST000169,2026-01-15,Administration,Internet,2731.5,2026-01
COST000170,2026-01-15,Administration,Transport,8763.88,2026-01
COST000171,2026-01-15,Hostel,Water,4127.38,2026-01
COST000172,2026-01-15,Hostel,Food,12027.43,2026-01
COST000173,2026-01-15,Canteen,Cleaning,3979.24,2026-01
COST000174,2026-01-15,Canteen,Transport,6908.5,2026-01
COST000175,2026-01-15,Academic,Other,3792.38,2026-01
COST000176,2026-01-15,Academic,Water,5247.73,2026-01
COST000177,2026-01-15,Maintenance,Transport,6742.11,2026-01
COST000178,2026-01-15,Maintenance,Other,2439.83,2026-01
COST000179,2026-01-15,Transport,Cleaning,3468.47,2026-01
COST000180,2026-01-15,Transport,Internet,2329.61,2026-01
COST000181,2026-01-16,Administration,Food,13047.59,2026-01
COST000182,2026-01-16,Administration,Maintenance,10933.32,2026-01
COST000183,2026-01-16,Hostel,Maintenance,9896.09,2026-01
COST000184,2026-01-16,Hostel,Transport,6513.88,2026-01
COST000185,2026-01-16,Canteen,Water,5801.14,2026-01
COST000186,2026-01-16,Canteen,Food,8901.72,2026-01
COST000187,2026-01-16,Academic,Electricity,17883.14,2026-01
COST000188,2026-01-16,Academic,Internet,3008.45,2026-01
COST000189,2026-01-16,Maintenance,Transport,8352.67,2026-01
COST000190,2026-01-16,Maintenance,Maintenance,9732.4,2026-01
COST000191,2026-01-16,Transport,Internet,1844.38,2026-01
COST000192,2026-01-16,Transport,Maintenance,7364.48,2026-01
COST000193,2026-01-17,Administration,Food,10277.68,2026-01
COST000194,2026-01-17,Administration,Transport,6739.59,2026-01
COST000195,2026-01-17,Hostel,Electricity,9865.45,2026-01
COST000196,2026-01-17,Hostel,Maintenance,6324.56,2026-01
COST000197,2026-01-17,Canteen,Other,3548.33,2026-01
COST000198,2026-01-17,Canteen,Electricity,13342.78,2026-01
COST000199,2026-01-17,Academic,Other,3277.9,2026-01
COST000200,2026-01-17,Academic,Transport,7131.5,2026-01
COST000201,2026-01-17,Maintenance,Cleaning,3536.35,2026-01
COST000202,2026-01-17,Maintenance,Electricity,10796.54,2026-01
COST000203,2026-01-17,Transport,Electricity,11853.81,2026-01
COST000204,2026-01-17,Transport,Food,13893.22,2026-01
COST000205,2026-01-18,Administration,Water,5865.96,2026-01
COST000206,2026-01-18,Administration,Maintenance,7432.42,2026-01
COST000207,2026-01-18,Hostel,Electricity,14494.48,2026-01
COST000208,2026-01-18,Hostel,Cleaning,3110.64,2026-01
COST000209,2026-01-18,Canteen,Water,4047.07,2026-01
COST000210,2026-01-18,Canteen,Other,2487.43,2026-01
COST000211,2026-01-18,Academic,Cleaning,5027.69,2026-01
COST000212,2026-01-18,Academic,Maintenance,6834.38,2026-01
COST000213,2026-01-18,Maintenance,Cleaning,5300.37,2026-01
COST000214,2026-01-18,Maintenance,Other,3609.16,2026-01
COST000215,2026-01-18,Transport,Cleaning,2648.18,2026-01
COST000216,2026-01-18,Transport,Electricity,18053.02,2026-01
COST000217,2026-01-19,Administration,Maintenance,7256.36,2026-01
COST000218,2026-01-19,Administration,Transport,7409.04,2026-01
COST000219,2026-01-19,Hostel,Food,12303.62,2026-01
COST000220,2026-01-19,Hostel,Maintenance,10656.64,2026-01
COST000221,2026-01-19,Canteen,Maintenance,9064.15,2026-01
COST000222,2026-01-19,Canteen,Water,6208.25,2026-01
COST000223,2026-01-19,Academic,Electricity,10853.14,2026-01
COST000224,2026-01-19,Academic,Transport,7515.33,2026-01
COST000225,2026-01-19,Maintenance,Water,6647.9,2026-01
COST000226,2026-01-19,Maintenance,Maintenance,4951.66,2026-01
COST000227,2026-01-19,Transport,Water,5168.86,2026-01
COST000228,2026-01-19,Transport,Electricity,11943.11,2026-01
COST000229,2026-01-20,Administration,Other,3032.38,2026-01
COST000230,2026-01-20,Administration,Transport,4399.88,2026-01
COST000231,2026-01-20,Hostel,Water,3985.88,2026-01
COST000232,2026-01-20,Hostel,Cleaning,3902.36,2026-01
COST000233,2026-01-20,Canteen,Electricity,14583.62,2026-01
COST000234,2026-01-20,Canteen,Other,2153.29,2026-01
COST000235,2026-01-20,Academic,Electricity,13901.98,2026-01
COST000236,2026-01-20,Academic,Water,5496.54,2026-01
COST000237,2026-01-20,Maintenance,Other,2703.41,2026-01
COST000238,2026-01-20,Maintenance,Electricity,14352.3,2026-01
COST000239,2026-01-20,Transport,Water,5542.43,2026-01
COST000240,2026-01-20,Transport,Transport,7601.72,2026-01
COST000241,2026-01-21,Administration,Electricity,17443.31,2026-01
COST000242,2026-01-21,Administration,Transport,7416.87,2026-01
COST000243,2026-01-21,Hostel,Electricity,17334.51,2026-01
COST000244,2026-01-21,Hostel,Other,2573.0,2026-01
COST000245,2026-01-21,Canteen,Maintenance,8872.79,2026-01
COST000246,2026-01-21,Canteen,Internet,2991.04,2026-01
COST000247,2026-01-21,Academic,Other,4147.72,2026-01
COST000248,2026-01-21,Academic,Water,4727.82,2026-01
COST000249,2026-01-21,Maintenance,Maintenance,6598.88,2026-01
COST000250,2026-01-21,Maintenance,Internet,2754.09,2026-01
COST000251,2026-01-21,Transport,Transport,5498.77,2026-01
COST000252,2026-01-21,Transport,Cleaning,3864.01,2026-01
COST000253,2026-01-22,Administration,Other,2673.52,2026-01
COST000254,2026-01-22,Administration,Transport,6068.19,2026-01
COST000255,2026-01-22,Hostel,Internet,2044.16,2026-01
COST000256,2026-01-22,Hostel,Transport,8787.68,2026-01
COST000257,2026-01-22,Canteen,Electricity,19654.92,2026-01
COST000258,2026-01-22,Canteen,Transport,5796.69,2026-01
COST000259,2026-01-22,Academic,Cleaning,3564.64,2026-01
COST000260,2026-01-22,Academic,Water,4551.01,2026-01
COST000261,2026-01-22,Maintenance,Maintenance,7746.66,2026-01
COST000262,2026-01-22,Maintenance,Transport,8729.44,2026-01
COST000263,2026-01-22,Transport,Transport,7198.73,2026-01
COST000264,2026-01-22,Transport,Internet,1895.32,2026-01
COST000265,2026-01-23,Administration,Food,8047.1,2026-01
COST000266,2026-01-23,Administration,Water,4623.62,2026-01
COST000267,2026-01-23,Hostel,Electricity,17744.44,2026-01
COST000268,2026-01-23,Hostel,Other,2296.08,2026-01
COST000269,2026-01-23,Canteen,Electricity,14354.83,2026-01
COST000270,2026-01-23,Canteen,Maintenance,9095.16,2026-01
COST000271,2026-01-23,Academic,Internet,2624.07,2026-01
COST000272,2026-01-23,Academic,Cleaning,3899.08,2026-01
COST000273,2026-01-23,Maintenance,Water,5622.17,2026-01
COST000274,2026-01-23,Maintenance,Transport,6344.56,2026-01
COST000275,2026-01-23,Transport,Maintenance,5582.29,2026-01
COST000276,2026-01-23,Transport,Transport,7682.49,2026-01
COST000277,2026-01-24,Administration,Internet,2994.1,2026-01
COST000278,2026-01-24,Administration,Food,14090.64,2026-01
COST000279,2026-01-24,Hostel,Other,2893.23,2026-01
COST000280,2026-01-24,Hostel,Internet,2008.19,2026-01
COST000281,2026-01-24,Canteen,Food,9752.98,2026-01
COST000282,2026-01-24,Canteen,Transport,3522.68,2026-01
COST000283,2026-01-24,Academic,Transport,8676.86,2026-01
COST000284,2026-01-24,Academic,Food,12084.77,2026-01
COST000285,2026-01-24,Maintenance,Transport,8125.69,2026-01
COST000286,2026-01-24,Maintenance,Maintenance,8757.17,2026-01
COST000287,2026-01-24,Transport,Cleaning,4297.7,2026-01
COST000288,2026-01-24,Transport,Food,11440.08,2026-01
COST000289,2026-01-25,Administration,Electricity,14749.61,2026-01
COST000290,2026-01-25,Administration,Other,2649.76,2026-01
COST000291,2026-01-25,Hostel,Maintenance,8717.63,2026-01
COST000292,2026-01-25,Hostel,Electricity,16316.22,2026-01
COST000293,2026-01-25,Canteen,Other,3084.24,2026-01
COST000294,2026-01-25,Canteen,Transport,7306.88,2026-01
COST000295,2026-01-25,Academic,Transport,5973.43,2026-01
COST000296,2026-01-25,Academic,Electricity,11012.03,2026-01
COST000297,2026-01-25,Maintenance,Transport,7286.5,2026-01
COST000298,2026-01-25,Maintenance,Cleaning,3781.73,2026-01
COST000299,2026-01-25,Transport,Electricity,18418.16,2026-01
COST000300,2026-01-25,Transport,Maintenance,9686.95,2026-01
COST000301,2026-01-26,Administration,Other,2533.38,2026-01
COST000302,2026-01-26,Administration,Maintenance,10490.61,2026-01
COST000303,2026-01-26,Hostel,Electricity,10707.47,2026-01
COST000304,2026-01-26,Hostel,Food,9152.13,2026-01
COST000305,2026-01-26,Canteen,Internet,3160.02,2026-01
COST000306,2026-01-26,Canteen,Maintenance,7273.11,2026-01
COST000307,2026-01-26,Academic,Internet,2850.94,2026-01
COST000308,2026-01-26,Academic,Cleaning,3280.68,2026-01
COST000309,2026-01-26,Maintenance,Electricity,13803.08,2026-01
COST000310,2026-01-26,Maintenance,Other,2163.98,2026-01
COST000311,2026-01-26,Transport,Cleaning,2916.39,2026-01
COST000312,2026-01-26,Transport,Internet,2158.76,2026-01
COST000313,2026-01-27,Administration,Internet,2633.62,2026-01
COST000314,2026-01-27,Administration,Electricity,11543.44,2026-01
COST000315,2026-01-27,Hostel,Water,7075.81,2026-01
COST000316,2026-01-27,Hostel,Cleaning,3892.32,2026-01
COST000317,2026-01-27,Canteen,Internet,2857.3,2026-01
COST000318,2026-01-27,Canteen,Water,7804.78,2026-01
COST000319,2026-01-27,Academic,Electricity,20241.56,2026-01
COST000320,2026-01-27,Academic,Other,2796.03,2026-01
COST000321,2026-01-27,Maintenance,Internet,1409.72,2026-01
COST000322,2026-01-27,Maintenance,Electricity,16473.24,2026-01
COST000323,2026-01-27,Transport,Cleaning,3920.85,2026-01
COST000324,2026-01-27,Transport,Internet,1919.07,2026-01
COST000325,2026-01-28,Administration,Transport,6811.92,2026-01
COST000326,2026-01-28,Administration,Water,5957.23,2026-01
COST000327,2026-01-28,Hostel,Food,9180.13,2026-01
COST000328,2026-01-28,Hostel,Electricity,12389.37,2026-01
COST000329,2026-01-28,Canteen,Electricity,18551.38,2026-01
COST000330,2026-01-28,Canteen,Transport,8394.78,2026-01
COST000331,2026-01-28,Academic,Water,3331.83,2026-01
COST000332,2026-01-28,Academic,Maintenance,8603.48,2026-01
COST000333,2026-01-28,Maintenance,Food,11413.47,2026-01
COST000334,2026-01-28,Maintenance,Transport,5309.79,2026-01
COST000335,2026-01-28,Transport,Transport,4798.42,2026-01
COST000336,2026-01-28,Transport,Water,6088.13,2026-01
COST000337,2026-01-29,Administration,Transport,8340.23,2026-01
COST000338,2026-01-29,Administration,Cleaning,4331.32,2026-01
COST000339,2026-01-29,Hostel,Water,6399.62,2026-01
COST000340,2026-01-29,Hostel,Transport,7886.58,2026-01
COST000341,2026-01-29,Canteen,Maintenance,7174.63,2026-01
COST000342,2026-01-29,Canteen,Transport,7243.4,2026-01
COST000343,2026-01-29,Academic,Cleaning,4163.27,2026-01
COST000344,2026-01-29,Academic,Maintenance,8223.05,2026-01
COST000345,2026-01-29,Maintenance,Other,2916.02,2026-01
COST000346,2026-01-29,Maintenance,Electricity,14429.29,2026-01
COST000347,2026-01-29,Transport,Maintenance,5562.74,2026-01
COST000348,2026-01-29,Transport,Internet,2968.51,2026-01
COST000349,2026-01-30,Administration,Cleaning,5562.35,2026-01
COST000350,2026-01-30,Administration,Water,7092.94,2026-01
COST000351,2026-01-30,Hostel,Other,1659.6,2026-01
COST000352,2026-01-30,Hostel,Internet,2661.69,2026-01
COST000353,2026-01-30,Canteen,Internet,3073.54,2026-01
COST000354,2026-01-30,Canteen,Cleaning,3637.84,2026-01
COST000355,2026-01-30,Academic,Water,5799.38,2026-01
COST000356,2026-01-30,Academic,Food,10706.19,2026-01
COST000357,2026-01-30,Maintenance,Electricity,6789.44,2026-01
COST000358,2026-01-30,Maintenance,Food,13279.35,2026-01
COST000359,2026-01-30,Transport,Water,5545.76,2026-01
COST000360,2026-01-30,Transport,Internet,2750.99,2026-01
COST000361,2026-01-31,Administration,Maintenance,8558.1,2026-01
COST000362,2026-01-31,Administration,Electricity,11671.75,2026-01
COST000363,2026-01-31,Hostel,Cleaning,4273.38,2026-01
COST000364,2026-01-31,Hostel,Water,4543.59,2026-01
COST000365,2026-01-31,Canteen,Water,4825.74,2026-01
COST000366,2026-01-31,Canteen,Other,2038.94,2026-01
COST000367,2026-01-31,Academic,Other,3730.05,2026-01
COST000368,2026-01-31,Academic,Cleaning,4744.8,2026-01
COST000369,2026-01-31,Maintenance,Cleaning,3787.89,2026-01
COST000370,2026-01-31,Maintenance,Food,10330.59,2026-01
COST000371,2026-01-31,Transport,Other,3154.35,2026-01
COST000372,2026-01-31,Transport,Transport,8224.84,2026-01
COST000373,2026-02-01,Administration,Other,2892.71,2026-02
COST000374,2026-02-01,Administration,Electricity,13297.23,2026-02
COST000375,2026-02-01,Hostel,Water,5566.38,2026-02
COST000376,2026-02-01,Hostel,Cleaning,5032.98,2026-02
COST000377,2026-02-01,Canteen,Internet,2510.82,2026-02
COST000378,2026-02-01,Canteen,Maintenance,6290.45,2026-02
COST000379,2026-02-01,Academic,Transport,7110.9,2026-02
COST000380,2026-02-01,Academic,Food,10205.04,2026-02
COST000381,2026-02-01,Maintenance,Other,4007.11,2026-02
COST000382,2026-02-01,Maintenance,Water,5415.0,2026-02
COST000383,2026-02-01,Transport,Other,2908.8,2026-02
COST000384,2026-02-01,Transport,Transport,6706.8,2026-02
COST000385,2026-02-02,Administration,Electricity,13051.8,2026-02
COST000386,2026-02-02,Administration,Cleaning,4841.83,2026-02
COST000387,2026-02-02,Hostel,Maintenance,8365.45,2026-02
COST000388,2026-02-02,Hostel,Other,3516.89,2026-02
COST000389,2026-02-02,Canteen,Maintenance,6756.99,2026-02
COST000390,2026-02-02,Canteen,Water,7424.46,2026-02
COST000391,2026-02-02,Academic,Internet,2410.36,2026-02
COST000392,2026-02-02,Academic,Electricity,15107.63,2026-02
COST000393,2026-02-02,Maintenance,Transport,9581.98,2026-02
COST000394,2026-02-02,Maintenance,Maintenance,10186.67,2026-02
COST000395,2026-02-02,Transport,Electricity,13723.99,2026-02
COST000396,2026-02-02,Transport,Internet,2712.11,2026-02
COST000397,2026-02-03,Administration,Food,11194.72,2026-02
COST000398,2026-02-03,Administration,Water,5839.66,2026-02
COST000399,2026-02-03,Hostel,Maintenance,8695.19,2026-02
COST000400,2026-02-03,Hostel,Electricity,15142.54,2026-02
COST000401,2026-02-03,Canteen,Maintenance,9343.36,2026-02
COST000402,2026-02-03,Canteen,Internet,1845.87,2026-02
COST000403,2026-02-03,Academic,Maintenance,7018.55,2026-02
COST000404,2026-02-03,Academic,Internet,2570.88,2026-02
COST000405,2026-02-03,Maintenance,Maintenance,7259.22,2026-02
COST000406,2026-02-03,Maintenance,Transport,7486.46,2026-02
COST000407,2026-02-03,Transport,Other,3913.0,2026-02
COST000408,2026-02-03,Transport,Electricity,13984.67,2026-02
COST000409,2026-02-04,Administration,Water,4956.47,2026-02
COST000410,2026-02-04,Administration,Electricity,10888.48,2026-02
COST000411,2026-02-04,Hostel,Internet,2160.27,2026-02
COST000412,2026-02-04,Hostel,Transport,6669.8,2026-02
COST000413,2026-02-04,Canteen,Internet,2745.22,2026-02
COST000414,2026-02-04,Canteen,Transport,5538.78,2026-02
COST000415,2026-02-04,Academic,Electricity,15331.31,2026-02
COST000416,2026-02-04,Academic,Other,3387.9,2026-02
COST000417,2026-02-04,Maintenance,Transport,4874.97,2026-02
COST000418,2026-02-04,Maintenance,Water,4218.42,2026-02
COST000419,2026-02-04,Transport,Cleaning,2995.92,2026-02
COST000420,2026-02-04,Transport,Other,2046.45,2026-02
COST000421,2026-02-05,Administration,Internet,2694.07,2026-02
COST000422,2026-02-05,Administration,Water,4459.37,2026-02
COST000423,2026-02-05,Hostel,Internet,2121.19,2026-02
COST000424,2026-02-05,Hostel,Maintenance,6627.47,2026-02
COST000425,2026-02-05,Canteen,Maintenance,9773.45,2026-02
COST000426,2026-02-05,Canteen,Cleaning,4839.96,2026-02
COST000427,2026-02-05,Academic,Electricity,17341.01,2026-02
COST000428,2026-02-05,Academic,Transport,8459.51,2026-02
COST000429,2026-02-05,Maintenance,Electricity,16537.15,2026-02
COST000430,2026-02-05,Maintenance,Other,2351.78,2026-02
COST000431,2026-02-05,Transport,Cleaning,4338.97,2026-02
COST000432,2026-02-05,Transport,Electricity,14230.21,2026-02
COST000433,2026-02-06,Administration,Other,2562.92,2026-02
COST000434,2026-02-06,Administration,Transport,4275.28,2026-02
COST000435,2026-02-06,Hostel,Water,4119.11,2026-02
COST000436,2026-02-06,Hostel,Other,2265.96,2026-02
COST000437,2026-02-06,Canteen,Water,3187.76,2026-02
COST000438,2026-02-06,Canteen,Maintenance,9732.74,2026-02
COST000439,2026-02-06,Academic,Other,2131.58,2026-02
COST000440,2026-02-06,Academic,Cleaning,4412.19,2026-02
COST000441,2026-02-06,Maintenance,Food,12437.48,2026-02
COST000442,2026-02-06,Maintenance,Maintenance,7702.86,2026-02
COST000443,2026-02-06,Transport,Internet,2564.95,2026-02
COST000444,2026-02-06,Transport,Cleaning,4323.5,2026-02
COST000445,2026-02-07,Administration,Food,11875.5,2026-02
COST000446,2026-02-07,Administration,Internet,2779.58,2026-02
COST000447,2026-02-07,Hostel,Electricity,13891.95,2026-02
COST000448,2026-02-07,Hostel,Water,5551.6,2026-02
COST000449,2026-02-07,Canteen,Food,12580.51,2026-02
COST000450,2026-02-07,Canteen,Transport,6211.32,2026-02
