cost_id,date,department,expense_category,amount
COST000054,2026-01-05,Canteen,Cleaning,2864.95
COST000055,2026-01-05,Academic,Internet,3018.56
COST000056,2026-01-05,Academic,Transport,6614.24
COST000057,2026-01-05,Maintenance,Electricity,12648.43
COST000058,2026-01-05,Maintenance,Internet,2254.94
COST000059,2026-01-05,Transport,Maintenance,6341.87
COST000060,2026-01-05,Transport,Cleaning,4361.81
COST000061,2026-01-06,Administration,Food,11579.62
COST000062,2026-01-06,Administration,Cleaning,2954.75
COST000063,2026-01-06,Hostel,Internet,2482.18
COST000064,2026-01-06,Hostel,Electricity,15173.93
COST000065,2026-01-06,Canteen,Maintenance,7217.54
COST000066,2026-01-06,Canteen,Water,4015.64
COST000067,2026-01-06,Academic,Transport,5919.38
COST000068,2026-01-06,Academic,Maintenance,8421.27
COST000069,2026-01-06,Maintenance,Cleaning,3932.3
COST000070,2026-01-06,Maintenance,Transport,7625.1
COST000071,2026-01-06,Transport,Other,2831.03
COST000072,2026-01-06,Transport,Transport,7122.72
COST000073,2026-01-07,Administration,Internet,2168.93
COST000074,2026-01-07,Administration,Food,12162.83
COST000075,2026-01-07,Hostel,Internet,2482.0
COST000076,2026-01-07,Hostel,Water,6536.41
COST000077,2026-01-07,Canteen,Other,2746.58
COST000078,2026-01-07,Canteen,Electricity,12195.94
COST000079,2026-01-07,Academic,Transport,3961.58
COST000080,2026-01-07,Academic,Food,13326.87
COST000081,2026-01-07,Maintenance,Electricity,12835.2
COST000082,2026-01-07,Maintenance,Maintenance,10801.98
COST000083,2026-01-07,Transport,Water,4332.87
COST000084,2026-01-07,Transport,Cleaning,4323.8
COST000085,2026-01-08,Administration,Internet,2817.38
COST000086,2026-01-08,Administration,Cleaning,4524.21
COST000087,2026-01-08,Hostel,Maintenance,8423.67
COST000088,2026-01-08,Hostel,Internet,2989.37
COST000089,2026-01-08,Canteen,Electricity,13183.46
COST000090,2026-01-08,Canteen,Transport,4540.23
COST000091,2026-01-08,Academic,Water,3836.57
COST000092,2026-01-08,Academic,Other,3222.03
COST000093,2026-01-08,Maintenance,Food,10595.66
COST000094,2026-01-08,Maintenance,Water,2839.31
COST000095,2026-01-08,Transport,Electricity,12547.19
COST000096,2026-01-08,Transport,Cleaning,3072.25
COST000097,2026-01-09,Administration,Internet,2321.28
COST000098,2026-01-09,Administration,Food,11206.73
COST000099,2026-01-09,Hostel,Electricity,15018.01
COST000100,2026-01-09,Hostel,Transport,7481.02
COST000101,2026-01-09,Canteen,Cleaning,2995.85
COST000102,2026-01-09,Canteen,Maintenance,8043.47
COST000103,2026-01-09,Academic,Food,10299.39
COST000104,2026-01-09,Academic,Transport,8401.29
COST000105,2026-01-09,Maintenance,Cleaning,4442.45
COST000106,2026-01-09,Maintenance,Transport,9895.46
COST000107,2026-01-09,Transport,Electricity,16535.13
COST000108,2026-01-09,Transport,Cleaning,4378.88
COST000109,2026-01-10,Administration,Cleaning,4452.91
COST000110,2026-01-10,Administration,Other,3549.84
COST000111,2026-01-10,Hostel,Transport,7527.68
COST000112,2026-01-10,Hostel,Maintenance,6567.04
COST000113,2026-01-10,Canteen,Food,10716.52
COST000114,2026-01-10,Canteen,Internet,2967.64
COST000115,2026-01-10,Academic,Internet,3415.47
COST000116,2026-01-10,Academic,Water,6099.81
COST000117,2026-01-10,Maintenance,Food,15515.37
COST000118,2026-01-10,Maintenance,Cleaning,5208.61
COST000119,2026-01-10,Transport,Internet,2866.17
COST000120,2026-01-10,Transport,Food,12951.82
COST000121,2026-01-11,Administration,Transport,7277.06
COST000122,2026-01-11,Administration,Water,6809.49
COST000123,2026-01-11,Hostel,Water,3499.62
COST000124,2026-01-11,Hostel,Maintenance,7414.05
COST000125,2026-01-11,Canteen,Electricity,14783.49
COST000126,2026-01-11,Canteen,Internet,2675.47
COST000127,2026-01-11,Academic,Electricity,13392.22
COST000128,2026-01-11,Academic,Transport,5056.95
COST000129,2026-01-11,Maintenance,Internet,2415.75
COST000130,2026-01-11,Maintenance,Water,4726.96
COST000131,2026-01-11,Transport,Cleaning,3867.92
COST000132,2026-01-11,Transport,Water,6047.65
COST000133,2026-01-12,Administration,Water,4561.7
COST000134,2026-01-12,Administration,Cleaning,2094.17
COST000135,2026-01-12,Hostel,Maintenance,10018.17
COST000136,2026-01-12,Hostel,Electricity,16422.05
COST000137,2026-01-12,Canteen,Water,7332.12
COST000138,2026-01-12,Canteen,Maintenance,7859.87
COST000139,2026-01-12,Academic,Other,2859.99
COST000140,2026-01-12,Academic,Food,9336.81
COST000141,2026-01-12,Maintenance,Electricity,13773.15
COST000142,2026-01-12,Maintenance,Cleaning,3944.2
COST000143,2026-01-12,Transport,Cleaning,4447.57
COST000144,2026-01-12,Transport,Water,5396.73
COST000145,2026-01-13,Administration,Other,2288.16
COST000146,2026-01-13,Administration,Cleaning,5691.42
COST000147,2026-01-13,Hostel,Other,3569.51
COST000148,2026-01-13,Hostel,Food,11813.61
COST000149,2026-01-13,Canteen,Food,10781.01
COST000150,2026-01-13,Canteen,Water,6086.3
COST000151,2026-01-13,Academic,Cleaning,4036.42
COST000152,2026-01-13,Academic,Maintenance,8351.64
COST000153,2026-01-13,Maintenance,Electricity,14527.0
COST000154,2026-01-13,Maintenance,Maintenance,7111.96
COST000155,2026-01-13,Transport,Other,3530.7
COST000156,2026-01-13,Transport,Cleaning,3978.02
COST000157,2026-01-14,Administration,Electricity,15859.89
COST000158,2026-01-14,Administration,Transport,4479.7
COST000159,2026-01-14,Hostel,Transport,7102.78
COST000160,2026-01-14,Hostel,Maintenance,9679.45
COST000161,2026-01-14,Canteen,Water,6209.81
COST000162,2026-01-14,Canteen,Food,10535.57
COST000163,2026-01-14,Academic,Electricity,20635.09
COST000164,2026-01-14,Academic,Water,5012.66
COST000165,2026-01-14,Maintenance,Internet,1923.18
COST000166,2026-01-14,Maintenance,Water,5461.73
COST000167,2026-01-14,Transport,Transport,6973.39
COST000168,2026-01-14,Transport,Food,13606.27
COST000169,2026-01-15,Administration,Internet,2731.5
COST000170,2026-01-15,Administration,Transport,8763.88
COST000171,2026-01-15,Hostel,Water,4127.38
COST000172,2026-01-15,Hostel,Food,12027.43
COST000173,2026-01-15,Canteen,Cleaning,3979.24
COST000174,2026-01-15,Canteen,Transport,6908.5
COST000175,2026-01-15,Academic,Other,3792.38
COST000176,2026-01-15,Academic,Water,5247.73
COST000177,2026-01-15,Maintenance,Transport,6742.11
COST000178,2026-01-15,Maintenance,Other,2439.83
COST000179,2026-01-15,Transport,Cleaning,3468.47
COST000180,2026-01-15,Transport,Internet,2329.61
COST000181,2026-01-16,Administration,Food,13047.59
COST000182,2026-01-16,Administration,Maintenance,10933.32
COST000183,2026-01-16,Hostel,Maintenance,9896.09
COST000184,2026-01-16,Hostel,Transport,6513.88
COST000185,2026-01-16,Canteen,Water,5801.14
COST000186,2026-01-16,Canteen,Food,8901.72
COST000187,2026-01-16,Academic,Electricity,17883.14
COST000188,2026-01-16,Academic,Internet,3008.45
COST000189,2026-01-16,Maintenance,Transport,8352.67
COST000190,2026-01-16,Maintenance,Maintenance,9732.4
COST000191,2026-01-16,Transport,Internet,1844.38
COST000192,2026-01-16,Transport,Maintenance,7364.48
COST000193,2026-01-17,Administration,Food,10277.68
COST000194,2026-01-17,Administration,Transport,6739.59
COST000195,2026-01-17,Hostel,Electricity,9865.45
COST000196,2026-01-17,Hostel,Maintenance,6324.56
COST000197,2026-01-17,Canteen,Other,3548.33
COST000198,2026-01-17,Canteen,Electricity,13342.78
COST000199,2026-01-17,Academic,Other,3277.9
COST000200,2026-01-17,Academic,Transport,7131.5
COST000201,2026-01-17,Maintenance,Cleaning,3536.35
COST000202,2026-01-17,Maintenance,Electricity,10796.54
COST000203,2026-01-17,Transport,Electricity,11853.81
COST000204,2026-01-17,Transport,Food,13893.22
COST000205,2026-01-18,Administration,Water,5865.96
COST000206,2026-01-18,Administration,Maintenance,7432.42
COST000207,2026-01-18,Hostel,Electricity,14494.48
COST000208,2026-01-18,Hostel,Cleaning,3110.64
COST000209,2026-01-18,Canteen,Water,4047.07
COST000210,2026-01-18,Canteen,Other,2487.43
COST000211,2026-01-18,Academic,Cleaning,5027.69
COST000212,2026-01-18,Academic,Maintenance,6834.38
COST000213,2026-01-18,Maintenance,Cleaning,5300.37
COST000214,2026-01-18,Maintenance,Other,3609.16
COST000215,2026-01-18,Transport,Cleaning,2648.18
COST000216,2026-01-18,Transport,Electricity,18053.02
COST000217,2026-01-19,Administration,Maintenance,7256.36
COST000218,2026-01-19,Administration,Transport,7409.04
COST000219,2026-01-19,Hostel,Food,12303.62
COST000220,2026-01-19,Hostel,Maintenance,10656.64
COST000221,2026-01-19,Canteen,Maintenance,9064.15
COST000222,2026-01-19,Canteen,Water,6208.25
COST000223,2026-01-19,Academic,Electricity,10853.14
COST000224,2026-01-19,Academic,Transport,7515.33
COST000225,2026-01-19,Maintenance,Water,6647.9
COST000226,2026-01-19,Maintenance,Maintenance,4951.66
COST000227,2026-01-19,Transport,Water,5168.86
COST000228,2026-01-19,Transport,Electricity,11943.11
COST000229,2026-01-20,Administration,Other,3032.38
COST000230,2026-01-20,Administration,Transport,4399.88
COST000231,2026-01-20,Hostel,Water,3985.88
COST000232,2026-01-20,Hostel,Cleaning,3902.36
COST000233,2026-01-20,Canteen,Electricity,14583.62
COST000234,2026-01-20,Canteen,Other,2153.29
COST000235,2026-01-20,Academic,Electricity,13901.98
COST000236,2026-01-20,Academic,Water,5496.54
COST000237,2026-01-20,Maintenance,Other,2703.41
COST000238,2026-01-20,Maintenance,Electricity,14352.3
COST000239,2026-01-20,Transport,Water,5542.43
COST000240,2026-01-20,Transport,Transport,7601.72
COST000241,2026-01-21,Administration,Electricity,17443.31
COST000242,2026-01-21,Administration,Transport,7416.87
COST000243,2026-01-21,Hostel,Electricity,17334.51
COST000244,2026-01-21,Hostel,Other,2573.0
COST000245,2026-01-21,Canteen,Maintenance,8872.79
COST000246,2026-01-21,Canteen,Internet,2991.04
COST000247,2026-01-21,Academic,Other,4147.72
COST000248,2026-01-21,Academic,Water,4727.82
COST000249,2026-01-21,Maintenance,Maintenance,6598.88
COST000250,2026-01-21,Maintenance,Internet,2754.09
COST000251,2026-01-21,Transport,Transport,5498.77
COST000252,2026-01-21,Transport,Cleaning,3864.01
COST000253,2026-01-22,Administration,Other,2673.52
COST000254,2026-01-22,Administration,Transport,6068.19
COST000255,2026-01-22,Hostel,Internet,2044.16
COST000256,2026-01-22,Hostel,Transport,8787.68
COST000257,2026-01-22,Canteen,Electricity,19654.92
COST000258,2026-01-22,Canteen,Transport,5796.69
COST000259,2026-01-22,Academic,Cleaning,3564.64
COST000260,2026-01-22,Academic,Water,4551.01
COST000261,2026-01-22,Maintenance,Maintenance,7746.66
COST000262,2026-01-22,Maintenance,Transport,8729.44
COST000263,2026-01-22,Transport,Transport,7198.73
COST000264,2026-01-22,Transport,Internet,1895.32
COST000265,2026-01-23,Administration,Food,8047.1
COST000266,2026-01-23,Administration,Water,4623.62
COST000267,2026-01-23,Hostel,Electricity,17744.44
COST000268,2026-01-23,Hostel,Other,2296.08
COST000269,2026-01-23,Canteen,Electricity,14354.83
COST000270,2026-01-23,Canteen,Maintenance,9095.16
COST000271,2026-01-23,Academic,Internet,2624.07
COST000272,2026-01-23,Academic,Cleaning,3899.08
COST000273,2026-01-23,Maintenance,Water,5622.17
COST000274,2026-01-23,Maintenance,Transport,6344.56
COST000275,2026-01-23,Transport,Maintenance,5582.29
COST000276,2026-01-23,Transport,Transport,7682.49
COST000277,2026-01-24,Administration,Internet,2994.1
COST000278,2026-01-24,Administration,Food,14090.64
COST000279,2026-01-24,Hostel,Other,2893.23
COST000280,2026-01-24,Hostel,Internet,2008.19
COST000281,2026-01-24,Canteen,Food,9752.98
COST000282,2026-01-24,Canteen,Transport,3522.68
COST000283,2026-01-24,Academic,Transport,8676.86
COST000284,2026-01-24,Academic,Food,12084.77
COST000285,2026-01-24,Maintenance,Transport,8125.69
COST000286,2026-01-24,Maintenance,Maintenance,8757.17
COST000287,2026-01-24,Transport,Cleaning,4297.7
COST000288,2026-01-24,Transport,Food,11440.08
COST000289,2026-01-25,Administration,Electricity,14749.61
COST000290,2026-01-25,Administration,Other,2649.76
COST000291,2026-01-25,Hostel,Maintenance,8717.63
COST000292,2026-01-25,Hostel,Electricity,16316.22
COST000293,2026-01-25,Canteen,Other,3084.24
COST000294,2026-01-25,Canteen,Transport,7306.88
COST000295,2026-01-25,Academic,Transport,5973.43
COST000296,2026-01-25,Academic,Electricity,11012.03
COST000297,2026-01-25,Maintenance,Transport,7286.5
COST000298,2026-01-25,Maintenance,Cleaning,3781.73
COST000299,2026-01-25,Transport,Electricity,18418.16
COST000300,2026-01-25,Transport,Maintenance,9686.95
COST000301,2026-01-26,Administration,Other,2533.38
COST000302,2026-01-26,Administration,Maintenance,10490.61
COST000303,2026-01-26,Hostel,Electricity,10707.47
COST000304,2026-01-26,Hostel,Food,9152.13
COST000305,2026-01-26,Canteen,Internet,3160.02
COST000306,2026-01-26,Canteen,Maintenance,7273.11
COST000307,2026-01-26,Academic,Internet,2850.94
COST000308,2026-01-26,Academic,Cleaning,3280.68
COST000309,2026-01-26,Maintenance,Electricity,13803.08
COST000310,2026-01-26,Maintenance,Other,2163.98
COST000311,2026-01-26,Transport,Cleaning,2916.39
COST000312,2026-01-26,Transport,Internet,2158.76
COST000313,2026-01-27,Administration,Internet,2633.62
COST000314,2026-01-27,Administration,Electricity,11543.44
COST000315,2026-01-27,Hostel,Water,7075.81
COST000316,2026-01-27,Hostel,Cleaning,3892.32
COST000317,2026-01-27,Canteen,Internet,2857.3
COST000318,2026-01-27,Canteen,Water,7804.78
COST000319,2026-01-27,Academic,Electricity,20241.56
COST000320,2026-01-27,Academic,Other,2796.03
COST000321,2026-01-27,Maintenance,Internet,1409.72
COST000322,2026-01-27,Maintenance,Electricity,16473.24
COST000323,2026-01-27,Transport,Cleaning,3920.85
COST000324,2026-01-27,Transport,Internet,1919.07
COST000325,2026-01-28,Administration,Transport,6811.92
COST000326,2026-01-28,Administration,Water,5957.23
COST000327,2026-01-28,Hostel,Food,9180.13
COST000328,2026-01-28,Hostel,Electricity,12389.37
COST000329,2026-01-28,Canteen,Electricity,18551.38
COST000330,2026-01-28,Canteen,Transport,8394.78
COST000331,2026-01-28,Academic,Water,3331.83
COST000332,2026-01-28,Academic,Maintenance,8603.48
COST000333,2026-01-28,Maintenance,Food,11413.47
COST000334,2026-01-28,Maintenance,Transport,5309.79
COST000335,2026-01-28,Transport,Transport,4798.42
COST000336,2026-01-28,Transport,Water,6088.13
COST000337,2026-01-29,Administration,Transport,8340.23
COST000338,2026-01-29,Administration,Cleaning,4331.32
COST000339,2026-01-29,Hostel,Water,6399.62
COST000340,2026-01-29,Hostel,Transport,7886.58
COST000341,2026-01-29,Canteen,Maintenance,7174.63
COST000342,2026-01-29,Canteen,Transport,7243.4
COST000343,2026-01-29,Academic,Cleaning,4163.27
COST000344,2026-01-29,Academic,Maintenance,8223.05
COST000345,2026-01-29,Maintenance,Other,2916.02
COST000346,2026-01-29,Maintenance,Electricity,14429.29
COST000347,2026-01-29,Transport,Maintenance,5562.74
COST000348,2026-01-29,Transport,Internet,2968.51
COST000349,2026-01-30,Administration,Cleaning,5562.35
COST000350,2026-01-30,Administration,Water,7092.94
COST000351,2026-01-30,Hostel,Other,1659.6
COST000352,2026-01-30,Hostel,Internet,2661.69
COST000353,2026-01-30,Canteen,Internet,3073.54
COST000354,2026-01-30,Canteen,Cleaning,3637.84
COST000355,2026-01-30,Academic,Water,5799.38
COST000356,2026-01-30,Academic,Food,10706.19
COST000357,2026-01-30,Maintenance,Electricity,6789.44
COST000358,2026-01-30,Maintenance,Food,13279.35
COST000359,2026-01-30,Transport,Water,5545.76
COST000360,2026-01-30,Transport,Internet,2750.99
COST000361,2026-01-31,Administration,Maintenance,8558.1
COST000362,2026-01-31,Administration,Electricity,11671.75
COST000363,2026-01-31,Hostel,Cleaning,4273.38
COST000364,2026-01-31,Hostel,Water,4543.59
COST000365,2026-01-31,Canteen,Water,4825.74
COST000366,2026-01-31,Canteen,Other,2038.94
COST000367,2026-01-31,Academic,Other,3730.05
COST000368,2026-01-31,Academic,Cleaning,4744.8
COST000369,2026-01-31,Maintenance,Cleaning,3787.89
COST000370,2026-01-31,Maintenance,Food,10330.59
COST000371,2026-01-31,Transport,Other,3154.35
COST000372,2026-01-31,Transport,Transport,8224.84
COST000373,2026-02-01,Administration,Other,2892.71
COST000374,2026-02-01,Administration,Electricity,13297.23
COST000375,2026-02-01,Hostel,Water,5566.38
COST000376,2026-02-01,Hostel,Cleaning,5032.98
COST000377,2026-02-01,Canteen,Internet,2510.82
COST000378,2026-02-01,Canteen,Maintenance,6290.45
COST000379,2026-02-01,Academic,Transport,7110.9
COST000380,2026-02-01,Academic,Food,10205.04
COST000381,2026-02-01,Maintenance,Other,4007.11
COST000382,2026-02-01,Maintenance,Water,5415.0
COST000383,2026-02-01,Transport,Other,2908.8
COST000384,2026-02-01,Transport,Transport,6706.8
COST000385,2026-02-02,Administration,Electricity,13051.8
COST000386,2026-02-02,Administration,Cleaning,4841.83
COST000387,2026-02-02,Hostel,Maintenance,8365.45
COST000388,2026-02-02,Hostel,Other,3516.89
COST000389,2026-02-02,Canteen,Maintenance,6756.99
COST000390,2026-02-02,Canteen,Water,7424.46
COST000391,2026-02-02,Academic,Internet,2410.36
COST000392,2026-02-02,Academic,Electricity,15107.63
COST000393,2026-02-02,Maintenance,Transport,9581.98
COST000394,2026-02-02,Maintenance,Maintenance,10186.67
COST000395,2026-02-02,Transport,Electricity,13723.99
COST000396,2026-02-02,Transport,Internet,2712.11
COST000397,2026-02-03,Administration,Food,11194.72
COST000398,2026-02-03,Administration,Water,5839.66
COST000399,2026-02-03,Hostel,Maintenance,8695.19
COST000400,2026-02-03,Hostel,Electricity,15142.54
COST000401,2026-02-03,Canteen,Maintenance,9343.36
COST000402,2026-02-03,Canteen,Internet,1845.87
COST000403,2026-02-03,Academic,Maintenance,7018.55
COST000404,2026-02-03,Academic,Internet,2570.88
COST000405,2026-02-03,Maintenance,Maintenance,7259.22
COST000406,2026-02-03,Maintenance,Transport,7486.46
COST000407,2026-02-03,Transport,Other,3913.0
COST000408,2026-02-03,Transport,Electricity,13984.67
COST000409,2026-02-04,Administration,Water,4956.47
COST000410,2026-02-04,Administration,Electricity,10888.48
COST000411,2026-02-04,Hostel,Internet,2160.27
COST000412,2026-02-04,Hostel,Transport,6669.8
COST000413,2026-02-04,Canteen,Internet,2745.22
COST000414,2026-02-04,Canteen,Transport,5538.78
COST000415,2026-02-04,Academic,Electricity,15331.31
COST000416,2026-02-04,Academic,Other,3387.9
COST000417,2026-02-04,Maintenance,Transport,4874.97
COST000418,2026-02-04,Maintenance,Water,4218.42
COST000419,2026-02-04,Transport,Cleaning,2995.92
COST000420,2026-02-04,Transport,Other,2046.45
COST000421,2026-02-05,Administration,Internet,2694.07
COST000422,2026-02-05,Administration,Water,4459.37
COST000423,2026-02-05,Hostel,Internet,2121.19
COST000424,2026-02-05,Hostel,Maintenance,6627.47
COST000425,2026-02-05,Canteen,Maintenance,9773.45
COST000426,2026-02-05,Canteen,Cleaning,4839.96
COST000427,2026-02-05,Academic,Electricity,17341.01
COST000428,2026-02-05,Academic,Transport,8459.51
COST000429,2026-02-05,Maintenance,Electricity,16537.15
COST000430,2026-02-05,Maintenance,Other,2351.78
COST000431,2026-02-05,Transport,Cleaning,4338.97
COST000432,2026-02-05,Transport,Electricity,14230.21
COST000433,2026-02-06,Administration,Other,2562.92
COST000434,2026-02-06,Administration,Transport,4275.28
COST000435,2026-02-06,Hostel,Water,4119.11
COST000436,2026-02-06,Hostel,Other,2265.96
COST000437,2026-02-06,Canteen,Water,3187.76
COST000438,2026-02-06,Canteen,Maintenance,9732.74
COST000439,2026-02-06,Academic,Other,2131.58
COST000440,2026-02-06,Academic,Cleaning,4412.19
COST000441,2026-02-06,Maintenance,Food,12437.48
COST000442,2026-02-06,Maintenance,Maintenance,7702.86
COST000443,2026-02-06,Transport,Internet,2564.95
COST000444,2026-02-06,Transport,Cleaning,4323.5
COST000445,2026-02-07,Administration,Food,11875.5
COST000446,2026-02-07,Administration,Internet,2779.58
COST000447,2026-02-07,Hostel,Electricity,13891.95
COST000448,2026-02-07,Hostel,Water,5551.6
COST000449,2026-02-07,Canteen,Food,12580.51
COST000450,2026-02-07,Canteen,Transport,6211.32
COST000451,2026-02-07,Academic,Cleaning,4399.61
COST000452,2026-02-07,Academic,Internet,2874.79
COST000453,2026-02-07,Maintenance,Internet,2599.75
COST000454,2026-02-07,Maintenance,Water,4657.21
COST000455,2026-02-07,Transport,Maintenance,8669.89
COST000456,2026-02-07,Transport,Other,2491.23
COST000457,2026-02-08,Administration,Electricity,16070.29
COST000458,2026-02-08,Administration,Water,3539.65
COST000459,2026-02-08,Hostel,Other,2555.51
COST000460,2026-02-08,Hostel,Cleaning,4812.66
COST000461,2026-02-08,Canteen,Food,13366.86
COST000462,2026-02-08,Canteen,Electricity,13158.62
COST000463,2026-02-08,Academic,Food,7352.28
COST000464,2026-02-08,Academic,Electricity,16769.32
COST000465,2026-02-08,Maintenance,Maintenance,9934.24
COST000466,2026-02-08,Maintenance,Internet,2641.07
COST000467,2026-02-08,Transport,Food,12871.47
COST000468,2026-02-08,Transport,Water,5214.98
COST000469,2026-02-09,Administration,Cleaning,3691.8
COST000470,2026-02-09,Administration,Maintenance,9233.1
COST000471,2026-02-09,Hostel,Water,5572.76
COST000472,2026-02-09,Hostel,Electricity,14584.4
COST000473,2026-02-09,Canteen,Maintenance,8845.54
COST000474,2026-02-09,Canteen,Food,10389.48
COST000475,2026-02-09,Academic,Water,4530.67
COST000476,2026-02-09,Academic,Transport,11409.51
COST000477,2026-02-09,Maintenance,Internet,2818.46
COST000478,2026-02-09,Maintenance,Other,3225.74
COST000479,2026-02-09,Transport,Water,5076.5
COST000480,2026-02-09,Transport,Electricity,14137.65
COST000481,2026-02-10,Administration,Food,7369.91
COST000482,2026-02-10,Administration,Other,2996.3
COST000483,2026-02-10,Hostel,Cleaning,4211.35
COST000484,2026-02-10,Hostel,Internet,2391.93
COST000485,2026-02-10,Canteen,Water,3893.44
COST000486,2026-02-10,Canteen,Cleaning,4286.3
COST000487,2026-02-10,Academic,Transport,4840.3
COST000488,2026-02-10,Academic,Maintenance,5928.4
COST000489,2026-02-10,Maintenance,Transport,6569.27
COST000490,2026-02-10,Maintenance,Cleaning,4674.85
COST000491,2026-02-10,Transport,Internet,2758.78
COST000492,2026-02-10,Transport,Water,3561.42
COST000493,2026-02-11,Administration,Cleaning,2330.32
COST000494,2026-02-11,Administration,Internet,3364.5
COST000495,2026-02-11,Hostel,Maintenance,9142.3
COST000496,2026-02-11,Hostel,Transport,8628.7
COST000497,2026-02-11,Canteen,Maintenance,6897.02
COST000498,2026-02-11,Canteen,Cleaning,4631.49
COST000499,2026-02-11,Academic,Water,4944.97
COST000500,2026-02-11,Academic,Internet,3733.71
COST000501,2026-02-11,Maintenance,Internet,2156.09
COST000502,2026-02-11,Maintenance,Other,2660.46
COST000503,2026-02-11,Transport,Water,5224.47
COST000504,2026-02-11,Transport,Transport,5485.36
COST000505,2026-02-12,Administration,Water,6426.02
COST000506,2026-02-12,Administration,Internet,2415.94
COST000507,2026-02-12,Hostel,Other,3936.32
COST000508,2026-02-12,Hostel,Food,10239.84
COST000509,2026-02-12,Canteen,Transport,7043.84
COST000510,2026-02-12,Canteen,Electricity,17760.73
COST000511,2026-02-12,Academic,Maintenance,8650.39
COST000512,2026-02-12,Academic,Electricity,10269.06
COST000513,2026-02-12,Maintenance,Electricity,18459.13
COST000514,2026-02-12,Maintenance,Internet,2634.0
COST000515,2026-02-12,Transport,Electricity,15307.9
COST000516,2026-02-12,Transport,Other,1999.15
COST000517,2026-02-13,Administration,Water,3586.11
COST000518,2026-02-13,Administration,Internet,2366.36
COST000519,2026-02-13,Hostel,Other,3860.96
COST000520,2026-02-13,Hostel,Water,4639.34
COST000521,2026-02-13,Canteen,Transport,7652.7
COST000522,2026-02-13,Canteen,Food,11013.46
COST000523,2026-02-13,Academic,Cleaning,2841.64
COST000524,2026-02-13,Academic,Transport,9676.07
COST000525,2026-02-13,Maintenance,Electricity,16230.93
COST000526,2026-02-13,Maintenance,Transport,7583.7
COST000527,2026-02-13,Transport,Water,4094.19
COST000528,2026-02-13,Transport,Transport,11090.74
COST000529,2026-02-14,Administration,Maintenance,9740.13
COST000530,2026-02-14,Administration,Electricity,17709.56
COST000531,2026-02-14,Hostel,Water,4863.75
COST000532,2026-02-14,Hostel,Other,3029.41
COST000533,2026-02-14,Canteen,Food,16360.96
COST000534,2026-02-14,Canteen,Maintenance,7185.22
COST000535,2026-02-14,Academic,Electricity,12369.35
COST000536,2026-02-14,Academic,Food,15000.45
COST000537,2026-02-14,Maintenance,Internet,2202.98
COST000538,2026-02-14,Maintenance,Food,10691.87
