food_id,date,meal_type,food_item,quantity_prepared,quantity_sold,quantity_wasted,cost_per_unit,total_cost
FOOD000052,2026-01-04,Breakfast,Biryani,222,201,17,59.02,13101.94
FOOD000053,2026-01-04,Lunch,Vegetable Curry,112,88,20,61.78,6919.84
FOOD000054,2026-01-04,Lunch,Idli,207,161,41,22.13,4580.42
FOOD000055,2026-01-04,Lunch,Noodles,202,173,26,28.55,5767.24
FOOD000056,2026-01-04,Lunch,Sambar,113,92,21,59.73,6749.12
FOOD000057,2026-01-04,Snacks,Chicken Curry,78,72,6,66.82,5211.86
FOOD000058,2026-01-04,Snacks,Fried Rice,137,122,11,45.61,6248.96
FOOD000059,2026-01-04,Snacks,Dal,155,141,11,15.28,2368.73
FOOD000060,2026-01-04,Snacks,Dosa,118,99,19,37.4,4412.81
FOOD000061,2026-01-04,Dinner,Rice,106,86,17,44.99,4768.98
FOOD000062,2026-01-04,Dinner,Noodles,187,155,31,46.23,8645.77
FOOD000063,2026-01-04,Dinner,Fried Rice,149,132,14,49.03,7305.29
FOOD000064,2026-01-04,Dinner,Sambar,137,111,23,57.72,7907.04
FOOD000065,2026-01-05,Breakfast,Chicken Curry,142,132,10,48.67,6911.65
FOOD000066,2026-01-05,Breakfast,Vegetable Curry,101,82,12,34.0,3433.93
FOOD000067,2026-01-05,Breakfast,Fried Rice,108,96,11,41.87,4521.49
FOOD000068,2026-01-05,Breakfast,Biryani,144,124,19,68.06,9800.64
FOOD000069,2026-01-05,Lunch,Dosa,157,146,10,36.39,5713.37
FOOD000070,2026-01-05,Lunch,Biryani,81,66,13,16.4,1328.44
FOOD000071,2026-01-05,Lunch,Dal,127,103,24,38.03,4829.53
FOOD000072,2026-01-05,Lunch,Noodles,67,58,4,24.0,1607.93
FOOD000073,2026-01-05,Snacks,Fried Rice,194,174,14,57.66,11185.93
FOOD000074,2026-01-05,Snacks,Curd Rice,231,192,35,18.87,4357.91
FOOD000075,2026-01-05,Snacks,Idli,238,215,19,67.95,16173.2
FOOD000076,2026-01-05,Snacks,Dal,66,57,5,79.26,5231.24
FOOD000077,2026-01-05,Dinner,Idli,186,149,33,59.1,10992.37
FOOD000078,2026-01-05,Dinner,Sambar,152,130,15,31.54,4793.85
FOOD000079,2026-01-05,Dinner,Curd Rice,214,167,41,50.0,10700.15
FOOD000080,2026-01-05,Dinner,Dosa,167,152,11,43.44,7254.35
FOOD000081,2026-01-06,Breakfast,Chicken Curry,196,184,12,53.07,10401.18
FOOD000082,2026-01-06,Breakfast,Fried Rice,108,86,21,25.49,2752.64
FOOD000083,2026-01-06,Breakfast,Chapati,73,62,9,26.55,1937.98
FOOD000084,2026-01-06,Breakfast,Dosa,68,53,9,26.3,1788.12
FOOD000085,2026-01-06,Lunch,Curd Rice,185,165,18,26.28,4862.65
FOOD000086,2026-01-06,Lunch,Rice,249,216,26,51.3,12773.8
FOOD000087,2026-01-06,Lunch,Vegetable Curry,93,80,13,49.28,4583.03
FOOD000088,2026-01-06,Lunch,Dal,161,127,28,65.75,10585.83
FOOD000089,2026-01-06,Snacks,Dal,242,221,21,42.36,10251.66
FOOD000090,2026-01-06,Snacks,Vegetable Curry,214,174,33,19.59,4192.72
FOOD000091,2026-01-06,Snacks,Rice,50,43,7,42.28,2114.04
FOOD000092,2026-01-06,Snacks,Noodles,248,219,27,18.34,4549.04
FOOD000093,2026-01-06,Dinner,Curd Rice,146,131,14,54.17,7909.0
FOOD000094,2026-01-06,Dinner,Noodles,135,104,25,34.22,4619.92
FOOD000095,2026-01-06,Dinner,Vegetable Curry,138,117,16,27.05,3732.27
FOOD000096,2026-01-06,Dinner,Chicken Curry,158,126,30,49.23,7778.65
FOOD000097,2026-01-07,Breakfast,Idli,82,68,8,38.58,3163.86
FOOD000098,2026-01-07,Breakfast,Noodles,189,179,7,16.42,3103.67
FOOD000099,2026-01-07,Breakfast,Biryani,107,95,6,64.28,6878.29
FOOD000100,2026-01-07,Breakfast,Sambar,214,173,38,53.77,11507.64
FOOD000101,2026-01-07,Lunch,Sambar,110,102,7,34.28,3771.32
FOOD000102,2026-01-07,Lunch,Biryani,73,62,9,48.3,3525.99
FOOD000103,2026-01-07,Lunch,Vegetable Curry,165,145,20,19.99,3298.8
FOOD000104,2026-01-07,Lunch,Dal,242,214,21,29.75,7199.1
FOOD000105,2026-01-07,Snacks,Curd Rice,206,182,24,32.01,6594.04
FOOD000106,2026-01-07,Snacks,Rice,104,98,5,58.87,6121.99
FOOD000107,2026-01-07,Snacks,Dal,143,114,27,71.97,10291.12
FOOD000108,2026-01-07,Snacks,Sambar,229,194,30,67.8,15525.56
FOOD000109,2026-01-07,Dinner,Rice,87,76,8,24.65,2144.24
FOOD000110,2026-01-07,Dinner,Idli,104,82,15,41.53,4318.92
FOOD000111,2026-01-07,Dinner,Chapati,248,214,27,36.12,8958.34
FOOD000112,2026-01-07,Dinner,Fried Rice,181,144,31,19.97,3614.84
FOOD000113,2026-01-08,Breakfast,Dal,131,107,21,28.57,3742.86
FOOD000114,2026-01-08,Breakfast,Idli,195,178,11,43.81,8542.25
FOOD000115,2026-01-08,Breakfast,Curd Rice,102,94,6,54.57,5565.84
FOOD000116,2026-01-08,Breakfast,Sambar,63,46,12,28.16,1773.9
FOOD000117,2026-01-08,Lunch,Dosa,68,61,4,39.23,2667.9
FOOD000118,2026-01-08,Lunch,Chapati,213,199,14,52.88,11264.27
FOOD000119,2026-01-08,Lunch,Curd Rice,102,87,11,65.73,6704.58
FOOD000120,2026-01-08,Lunch,Fried Rice,104,93,6,74.62,7760.98
FOOD000121,2026-01-08,Snacks,Vegetable Curry,227,190,34,56.14,12744.82
FOOD000122,2026-01-08,Snacks,Biryani,139,124,14,38.31,5325.61
FOOD000123,2026-01-08,Snacks,Rice,143,124,15,74.24,10616.73
FOOD000124,2026-01-08,Snacks,Chapati,176,159,17,61.94,10901.86
FOOD000125,2026-01-08,Dinner,Chicken Curry,53,40,8,65.87,3491.37
FOOD000126,2026-01-08,Dinner,Curd Rice,71,56,9,57.86,4108.22
FOOD000127,2026-01-08,Dinner,Chapati,230,185,39,51.88,11931.92
FOOD000128,2026-01-08,Dinner,Sambar,88,72,15,43.4,3819.61
FOOD000129,2026-01-09,Breakfast,Chicken Curry,246,219,24,58.51,14393.66
FOOD000130,2026-01-09,Breakfast,Noodles,120,99,18,47.27,5672.28
FOOD000131,2026-01-09,Breakfast,Curd Rice,125,96,22,68.11,8513.52
FOOD000132,2026-01-09,Breakfast,Fried Rice,241,210,28,61.58,14840.55
FOOD000133,2026-01-09,Lunch,Curd Rice,51,38,6,24.9,1270.07
FOOD000134,2026-01-09,Lunch,Chicken Curry,225,207,12,50.87,11445.39
FOOD000135,2026-01-09,Lunch,Fried Rice,74,55,14,54.21,4011.49
FOOD000136,2026-01-09,Lunch,Sambar,207,167,34,57.12,11822.95
FOOD000137,2026-01-09,Snacks,Curd Rice,195,160,34,31.45,6132.7
FOOD000138,2026-01-09,Snacks,Chicken Curry,143,113,27,78.64,11245.19
FOOD000139,2026-01-09,Snacks,Sambar,230,211,16,60.55,13925.83
FOOD000140,2026-01-09,Snacks,Idli,109,87,21,28.57,3113.61
FOOD000141,2026-01-09,Dinner,Sambar,156,137,18,42.44,6619.92
FOOD000142,2026-01-09,Dinner,Chicken Curry,245,228,12,33.35,8171.36
FOOD000143,2026-01-09,Dinner,Rice,246,196,44,78.02,19192.22
FOOD000144,2026-01-09,Dinner,Curd Rice,139,123,14,15.17,2109.09
FOOD000145,2026-01-10,Breakfast,Chicken Curry,158,127,26,72.34,11428.94
FOOD000146,2026-01-10,Breakfast,Idli,181,154,24,60.72,10989.66
FOOD000147,2026-01-10,Breakfast,Sambar,247,196,49,25.42,6278.73
FOOD000148,2026-01-10,Breakfast,Rice,137,122,13,44.75,6130.74
FOOD000149,2026-01-10,Lunch,Biryani,154,128,19,39.14,6028.08
FOOD000150,2026-01-10,Lunch,Dosa,206,185,17,32.33,6660.54
FOOD000151,2026-01-10,Lunch,Dal,225,188,33,22.18,4990.49
FOOD000152,2026-01-10,Lunch,Chicken Curry,147,117,23,50.92,7485.75
FOOD000153,2026-01-10,Snacks,Chicken Curry,133,120,7,40.71,5414.74
FOOD000154,2026-01-10,Snacks,Idli,141,125,10,32.85,4632.34
FOOD000155,2026-01-10,Snacks,Curd Rice,236,208,22,57.74,13627.46
FOOD000156,2026-01-10,Snacks,Dosa,228,209,12,30.42,6935.0
FOOD000157,2026-01-10,Dinner,Curd Rice,190,152,31,31.31,5949.62
FOOD000158,2026-01-10,Dinner,Dal,135,116,15,74.6,10071.29
FOOD000159,2026-01-10,Dinner,Sambar,144,115,27,41.06,5913.13
FOOD000160,2026-01-10,Dinner,Noodles,239,195,43,55.49,13262.46
FOOD000161,2026-01-11,Breakfast,Rice,95,79,9,27.86,2646.54
FOOD000162,2026-01-11,Breakfast,Fried Rice,195,169,20,66.93,13050.77
FOOD000163,2026-01-11,Breakfast,Noodles,207,182,22,15.19,3143.42
FOOD000164,2026-01-11,Breakfast,Dal,170,148,22,47.79,8124.76
FOOD000165,2026-01-11,Lunch,Vegetable Curry,163,145,15,32.16,5242.87
FOOD000166,2026-01-11,Lunch,Noodles,220,183,36,55.64,12239.87
FOOD000167,2026-01-11,Lunch,Chicken Curry,157,139,13,77.84,12220.3
FOOD000168,2026-01-11,Lunch,Dosa,67,54,12,64.25,4304.58
FOOD000169,2026-01-11,Snacks,Vegetable Curry,53,43,7,33.78,1790.25
FOOD000170,2026-01-11,Snacks,Chapati,230,191,32,31.64,7277.17
FOOD000171,2026-01-11,Snacks,Chicken Curry,220,172,43,44.94,9886.53
FOOD000172,2026-01-11,Snacks,Fried Rice,195,179,13,39.2,7643.19
FOOD000173,2026-01-11,Dinner,Dal,245,231,14,26.3,6443.42
FOOD000174,2026-01-11,Dinner,Idli,72,62,4,72.5,5219.88
FOOD000175,2026-01-11,Dinner,Fried Rice,186,147,32,25.5,4743.03
FOOD000176,2026-01-11,Dinner,Sambar,69,57,9,39.92,2754.17
FOOD000177,2026-01-12,Breakfast,Biryani,66,56,6,49.15,3243.74
FOOD000178,2026-01-12,Breakfast,Noodles,160,138,15,34.45,5512.63
FOOD000179,2026-01-12,Breakfast,Rice,136,114,15,34.13,4642.01
FOOD000180,2026-01-12,Breakfast,Chicken Curry,205,165,36,30.4,6233.02
FOOD000181,2026-01-12,Lunch,Chicken Curry,73,62,4,51.9,3788.57
FOOD000182,2026-01-12,Lunch,Dal,86,67,12,66.01,5676.57
FOOD000183,2026-01-12,Lunch,Idli,186,170,12,72.28,13444.02
FOOD000184,2026-01-12,Lunch,Fried Rice,242,214,23,60.61,14668.1
FOOD000185,2026-01-12,Snacks,Idli,131,105,22,77.38,10136.16
FOOD000186,2026-01-12,Snacks,Biryani,249,201,48,28.41,7073.77
FOOD000187,2026-01-12,Snacks,Dal,142,131,9,22.06,3132.09
FOOD000188,2026-01-12,Snacks,Noodles,183,170,13,38.71,7083.13
FOOD000189,2026-01-12,Dinner,Sambar,92,82,5,65.66,6040.52
FOOD000190,2026-01-12,Dinner,Vegetable Curry,164,145,19,69.13,11337.4
FOOD000191,2026-01-12,Dinner,Curd Rice,86,75,4,51.05,4390.27
FOOD000192,2026-01-12,Dinner,Idli,121,103,16,74.46,9009.58
FOOD000193,2026-01-13,Breakfast,Rice,203,184,19,48.58,9861.14
FOOD000194,2026-01-13,Breakfast,Chapati,71,60,5,49.37,3505.43
FOOD000195,2026-01-13,Breakfast,Vegetable Curry,93,74,16,53.89,5011.73
FOOD000196,2026-01-13,Breakfast,Chicken Curry,118,97,19,37.0,4365.51
FOOD000197,2026-01-13,Lunch,Chapati,240,221,16,24.46,5870.78
FOOD000198,2026-01-13,Lunch,Biryani,121,114,7,58.65,7096.16
FOOD000199,2026-01-13,Lunch,Fried Rice,127,102,20,56.3,7150.07
FOOD000200,2026-01-13,Lunch,Sambar,79,71,6,21.91,1730.63
FOOD000201,2026-01-13,Snacks,Curd Rice,220,193,20,37.48,8245.61
FOOD000202,2026-01-13,Snacks,Dosa,204,163,34,47.77,9744.22
FOOD000203,2026-01-13,Snacks,Dal,56,52,4,24.32,1362.1
FOOD000204,2026-01-13,Snacks,Rice,240,200,38,15.94,3825.33
FOOD000205,2026-01-13,Dinner,Vegetable Curry,176,163,12,50.56,8897.99
FOOD000206,2026-01-13,Dinner,Chicken Curry,192,156,36,39.91,7662.98
FOOD000207,2026-01-13,Dinner,Dosa,159,124,30,48.05,7639.81
FOOD000208,2026-01-13,Dinner,Biryani,228,181,44,18.12,4131.01
FOOD000209,2026-01-14,Breakfast,Dal,221,194,26,19.05,4210.0
FOOD000210,2026-01-14,Breakfast,Dosa,109,89,20,57.48,6265.2
FOOD000211,2026-01-14,Breakfast,Chapati,203,171,25,32.75,6648.66
FOOD000212,2026-01-14,Breakfast,Rice,141,116,19,23.81,3357.06
FOOD000213,2026-01-14,Lunch,Chapati,68,52,9,36.6,2488.84
FOOD000214,2026-01-14,Lunch,Noodles,218,203,9,39.19,8543.71
FOOD000215,2026-01-14,Lunch,Vegetable Curry,153,128,21,61.96,9479.79
FOOD000216,2026-01-14,Lunch,Rice,209,183,24,70.09,14648.87
FOOD000217,2026-01-14,Snacks,Sambar,115,92,17,38.71,4452.19
FOOD000218,2026-01-14,Snacks,Vegetable Curry,118,104,7,28.2,3327.18
FOOD000219,2026-01-14,Snacks,Fried Rice,206,191,10,53.57,11035.82
FOOD000220,2026-01-14,Snacks,Curd Rice,54,51,3,63.33,3420.02
FOOD000221,2026-01-14,Dinner,Dosa,187,160,22,60.42,11298.1
FOOD000222,2026-01-14,Dinner,Noodles,64,56,4,29.18,1867.47
FOOD000223,2026-01-14,Dinner,Idli,247,209,37,38.83,9590.0
FOOD000224,2026-01-14,Dinner,Fried Rice,247,219,26,50.23,12406.28
FOOD000225,2026-01-15,Breakfast,Vegetable Curry,79,70,9,60.34,4766.6
FOOD000226,2026-01-15,Breakfast,Chicken Curry,123,95,23,54.56,6710.95
FOOD000227,2026-01-15,Breakfast,Sambar,241,212,29,41.16,9920.07
FOOD000228,2026-01-15,Breakfast,Dal,231,219,10,62.88,14525.16
FOOD000229,2026-01-15,Lunch,Dal,194,177,12,53.95,10465.42
FOOD000230,2026-01-15,Lunch,Curd Rice,243,227,11,78.46,19065.54
FOOD000231,2026-01-15,Lunch,Chapati,236,193,40,69.56,16415.21
FOOD000232,2026-01-15,Lunch,Dosa,104,96,4,52.21,5430.3
FOOD000233,2026-01-15,Snacks,Chapati,94,88,5,61.48,5778.81
FOOD000234,2026-01-15,Snacks,Sambar,56,46,9,21.91,1226.94
FOOD000235,2026-01-15,Snacks,Rice,206,191,11,50.28,10357.34
FOOD000236,2026-01-15,Snacks,Chicken Curry,75,64,4,62.36,4677.09
FOOD000237,2026-01-15,Dinner,Rice,186,173,12,25.01,4650.99
FOOD000238,2026-01-15,Dinner,Fried Rice,214,170,41,15.29,3273.1
FOOD000239,2026-01-15,Dinner,Idli,61,45,10,21.09,1286.34
FOOD000240,2026-01-15,Dinner,Biryani,66,52,7,67.6,4461.41
FOOD000241,2026-01-16,Breakfast,Idli,113,102,5,31.94,3609.27
FOOD000242,2026-01-16,Breakfast,Dal,211,176,30,72.97,15396.93
FOOD000243,2026-01-16,Breakfast,Vegetable Curry,112,104,5,19.54,2188.25
FOOD000244,2026-01-16,Breakfast,Curd Rice,124,98,20,18.97,2352.34
FOOD000245,2026-01-16,Lunch,Idli,108,92,14,67.0,7236.43
FOOD000246,2026-01-16,Lunch,Chapati,249,232,16,78.12,19452.88
FOOD000247,2026-01-16,Lunch,Dal,117,97,20,35.15,4112.17
FOOD000248,2026-01-16,Lunch,Noodles,171,157,11,45.21,7730.31
FOOD000249,2026-01-16,Snacks,Dal,167,148,12,53.11,8868.6
FOOD000250,2026-01-16,Snacks,Chicken Curry,177,152,21,25.97,4597.48
FOOD000251,2026-01-16,Snacks,Rice,204,179,20,53.28,10868.55
FOOD000252,2026-01-16,Snacks,Biryani,71,58,6,59.19,4202.14
FOOD000253,2026-01-16,Dinner,Dosa,194,168,26,24.8,4811.54
FOOD000254,2026-01-16,Dinner,Dal,62,44,12,44.73,2773.11
FOOD000255,2026-01-16,Dinner,Vegetable Curry,168,152,15,76.83,12907.6
FOOD000256,2026-01-16,Dinner,Fried Rice,130,114,11,47.09,6121.67
FOOD000257,2026-01-17,Breakfast,Vegetable Curry,131,117,8,23.39,3063.94
FOOD000258,2026-01-17,Breakfast,Sambar,232,220,12,24.46,5674.35
FOOD000259,2026-01-17,Breakfast,Noodles,135,109,20,24.69,3333.17
FOOD000260,2026-01-17,Breakfast,Dosa,95,77,14,25.68,2439.33
FOOD000261,2026-01-17,Lunch,Idli,50,39,7,30.68,1533.81
FOOD000262,2026-01-17,Lunch,Biryani,69,55,13,20.81,1435.58
FOOD000263,2026-01-17,Lunch,Sambar,73,55,11,38.29,2795.37
FOOD000264,2026-01-17,Lunch,Chapati,119,106,9,64.84,7716.31
FOOD000265,2026-01-17,Snacks,Idli,236,196,40,27.92,6589.02
FOOD000266,2026-01-17,Snacks,Noodles,234,182,45,55.75,13046.2
FOOD000267,2026-01-17,Snacks,Biryani,233,181,45,33.99,7920.73
FOOD000268,2026-01-17,Snacks,Dosa,178,154,20,36.16,6435.87
FOOD000269,2026-01-17,Dinner,Dosa,148,137,9,74.85,11078.35
FOOD000270,2026-01-17,Dinner,Biryani,51,41,6,55.18,2814.37
FOOD000271,2026-01-17,Dinner,Sambar,226,210,11,66.91,15120.66
FOOD000272,2026-01-17,Dinner,Chicken Curry,70,53,11,28.88,2021.76
FOOD000273,2026-01-18,Breakfast,Rice,62,50,10,46.97,2912.39
FOOD000274,2026-01-18,Breakfast,Chapati,195,173,21,50.53,9852.6
FOOD000275,2026-01-18,Breakfast,Biryani,196,161,28,70.68,13854.05
FOOD000276,2026-01-18,Breakfast,Idli,216,174,38,19.98,4315.28
FOOD000277,2026-01-18,Lunch,Dosa,181,163,17,58.91,10663.31
FOOD000278,2026-01-18,Lunch,Idli,180,152,23,38.05,6849.48
FOOD000279,2026-01-18,Lunch,Vegetable Curry,221,192,24,63.77,14092.28
FOOD000280,2026-01-18,Lunch,Curd Rice,158,145,12,25.02,3952.58
FOOD000281,2026-01-18,Snacks,Chapati,215,193,16,51.78,11133.35
FOOD000282,2026-01-18,Snacks,Chicken Curry,169,157,10,78.54,13273.66
FOOD000283,2026-01-18,Snacks,Noodles,135,113,19,40.34,5446.37
FOOD000284,2026-01-18,Snacks,Rice,191,174,13,37.8,7220.09
FOOD000285,2026-01-18,Dinner,Chapati,152,124,26,71.44,10858.3
FOOD000286,2026-01-18,Dinner,Dosa,157,131,26,23.46,3683.36
FOOD000287,2026-01-18,Dinner,Rice,97,87,4,18.7,1813.75
FOOD000288,2026-01-18,Dinner,Curd Rice,172,152,17,39.58,6808.5
FOOD000289,2026-01-19,Breakfast,Idli,92,75,16,41.28,3797.85
FOOD000290,2026-01-19,Breakfast,Sambar,67,58,9,34.98,2343.56
FOOD000291,2026-01-19,Breakfast,Chicken Curry,140,122,11,16.2,2268.34
FOOD000292,2026-01-19,Breakfast,Rice,105,96,5,18.06,1896.7
FOOD000293,2026-01-19,Lunch,Sambar,136,105,26,53.01,7209.91
FOOD000294,2026-01-19,Lunch,Rice,183,157,19,52.8,9662.2
FOOD000295,2026-01-19,Lunch,Curd Rice,57,50,4,31.0,1767.04
FOOD000296,2026-01-19,Lunch,Dosa,67,52,13,49.0,3282.8
FOOD000297,2026-01-19,Snacks,Biryani,98,83,8,23.78,2330.47
FOOD000298,2026-01-19,Snacks,Rice,224,186,32,62.79,14064.42
FOOD000299,2026-01-19,Snacks,Noodles,73,67,6,22.05,1609.72
FOOD000300,2026-01-19,Snacks,Curd Rice,135,127,6,62.84,8483.27
FOOD000301,2026-01-19,Dinner,Chicken Curry,119,100,18,67.22,7998.75
FOOD000302,2026-01-19,Dinner,Idli,88,76,10,55.51,4884.5
FOOD000303,2026-01-19,Dinner,Vegetable Curry,153,137,12,68.48,10477.21
FOOD000304,2026-01-19,Dinner,Noodles,240,201,38,44.5,10680.15
FOOD000305,2026-01-20,Breakfast,Fried Rice,158,143,14,26.83,4239.46
FOOD000306,2026-01-20,Breakfast,Chicken Curry,232,208,22,41.74,9683.11
FOOD000307,2026-01-20,Breakfast,Curd Rice,136,128,8,48.45,6589.22
FOOD000308,2026-01-20,Breakfast,Dal,68,57,9,29.07,1977.08
FOOD000309,2026-01-20,Lunch,Chapati,86,80,5,79.08,6800.7
FOOD000310,2026-01-20,Lunch,Dal,88,79,5,56.84,5001.64
FOOD000311,2026-01-20,Lunch,Chicken Curry,240,206,34,17.57,4217.55
FOOD000312,2026-01-20,Lunch,Fried Rice,55,50,3,35.63,1959.83
FOOD000313,2026-01-20,Snacks,Chapati,102,93,5,60.28,6148.45
FOOD000314,2026-01-20,Snacks,Rice,182,170,8,53.21,9684.96
FOOD000315,2026-01-20,Snacks,Biryani,231,190,38,28.48,6578.03
FOOD000316,2026-01-20,Snacks,Chicken Curry,56,52,4,33.82,1893.66
FOOD000317,2026-01-20,Dinner,Rice,146,136,6,34.42,5025.35
FOOD000318,2026-01-20,Dinner,Vegetable Curry,222,191,26,51.06,11334.86
FOOD000319,2026-01-20,Dinner,Sambar,220,203,15,72.31,15907.63
FOOD000320,2026-01-20,Dinner,Chapati,79,65,14,75.66,5977.09
FOOD000321,2026-01-21,Breakfast,Noodles,152,120,28,62.84,9551.19
FOOD000322,2026-01-21,Breakfast,Idli,58,47,7,19.1,1107.83
FOOD000323,2026-01-21,Breakfast,Chapati,215,193,21,61.42,13206.07
FOOD000324,2026-01-21,Breakfast,Curd Rice,134,122,10,76.43,10241.95
FOOD000325,2026-01-21,Lunch,Noodles,137,120,16,69.14,9472.5
FOOD000326,2026-01-21,Lunch,Vegetable Curry,131,102,22,27.6,3615.3
FOOD000327,2026-01-21,Lunch,Biryani,237,222,11,77.07,18265.09
FOOD000328,2026-01-21,Lunch,Sambar,212,186,23,45.53,9652.74
FOOD000329,2026-01-21,Snacks,Chapati,247,224,21,23.43,5785.99
FOOD000330,2026-01-21,Snacks,Rice,61,55,5,43.41,2648.11
FOOD000331,2026-01-21,Snacks,Fried Rice,103,91,7,40.19,4139.7
FOOD000332,2026-01-21,Snacks,Idli,171,155,9,38.0,6498.15
FOOD000333,2026-01-21,Dinner,Idli,183,144,35,43.32,7926.86
FOOD000334,2026-01-21,Dinner,Dal,164,141,18,35.24,5779.08
FOOD000335,2026-01-21,Dinner,Chicken Curry,181,142,33,51.44,9310.28
FOOD000336,2026-01-21,Dinner,Dosa,220,181,37,75.93,16703.93
FOOD000337,2026-01-22,Breakfast,Dal,51,40,4,63.47,3237.03
FOOD000338,2026-01-22,Breakfast,Fried Rice,52,45,5,78.77,4096.23
FOOD000339,2026-01-22,Breakfast,Rice,232,214,15,36.63,8498.5
FOOD000340,2026-01-22,Breakfast,Chapati,169,155,10,78.69,13297.88
FOOD000341,2026-01-22,Lunch,Chapati,210,173,36,22.23,4668.51
FOOD000342,2026-01-22,Lunch,Fried Rice,140,127,11,44.42,6219.11
FOOD000343,2026-01-22,Lunch,Sambar,235,218,17,74.31,17463.76
FOOD000344,2026-01-22,Lunch,Dal,128,104,21,47.54,6084.89
FOOD000345,2026-01-22,Snacks,Idli,56,47,2,22.96,1285.78
FOOD000346,2026-01-22,Snacks,Dosa,100,83,15,35.44,3543.96
FOOD000347,2026-01-22,Snacks,Vegetable Curry,111,97,14,60.91,6760.89
FOOD000348,2026-01-22,Snacks,Curd Rice,216,196,16,37.56,8113.14
