attendance_id,student_id,date,subject,status
ATT000284,STU0006,2026-01-13,Manufacturing,Present
ATT000285,STU0006,2026-08-29,Thermodynamics,Present
ATT000286,STU0006,2026-01-04,CAD,Present
ATT000287,STU0006,2026-02-04,Manufacturing,Present
ATT000288,STU0006,2026-05-27,CAD,Present
ATT000289,STU0006,2026-01-09,Mechanics,Present
ATT000290,STU0006,2026-06-06,Thermodynamics,Present
ATT000291,STU0006,2026-02-20,Mechanics,Present
ATT000292,STU0006,2026-05-04,CAD,Present
ATT000293,STU0006,2026-06-10,Mechanics,Present
ATT000294,STU0006,2026-07-09,Thermodynamics,Present
ATT000295,STU0006,2026-06-07,Manufacturing,Absent
ATT000296,STU0006,2026-01-29,Manufacturing,Present
ATT000297,STU0006,2026-07-11,Thermodynamics,Absent
ATT000298,STU0006,2026-07-10,Manufacturing,Present
ATT000299,STU0006,2026-03-01,Thermodynamics,Absent
ATT000300,STU0006,2026-01-25,Manufacturing,Present
ATT000301,STU0007,2026-08-29,Mechanics,Absent
ATT000302,STU0007,2026-08-05,Thermodynamics,Present
ATT000303,STU0007,2026-08-06,Thermodynamics,Present
ATT000304,STU0007,2026-06-20,Manufacturing,Present
ATT000305,STU0007,2026-06-16,Mechanics,Absent
ATT000306,STU0007,2026-04-28,CAD,Absent
ATT000307,STU0007,2026-07-22,CAD,Present
ATT000308,STU0007,2026-03-19,Thermodynamics,Absent
ATT000309,STU0007,2026-04-22,CAD,Present
ATT000310,STU0007,2026-06-11,Thermodynamics,Absent
ATT000311,STU0007,2026-08-13,CAD,Present
ATT000312,STU0007,2026-05-27,Manufacturing,Present
ATT000313,STU0007,2026-01-21,Manufacturing,Present
ATT000314,STU0007,2026-07-25,Thermodynamics,Present
ATT000315,STU0007,2026-07-28,CAD,Present
ATT000316,STU0007,2026-04-06,Mechanics,Present
ATT000317,STU0007,2026-08-01,Mechanics,Present
ATT000318,STU0007,2026-04-13,Mechanics,Present
ATT000319,STU0007,2026-06-24,Thermodynamics,Present
ATT000320,STU0007,2026-01-27,Mechanics,Absent
ATT000321,STU0007,2026-08-19,Manufacturing,Absent
ATT000322,STU0007,2026-07-27,Thermodynamics,Present
ATT000323,STU0007,2026-04-01,Thermodynamics,Present
ATT000324,STU0007,2026-03-05,Manufacturing,Present
ATT000325,STU0007,2026-05-11,Thermodynamics,Present
ATT000326,STU0007,2026-08-24,Mechanics,Present
ATT000327,STU0007,2026-03-24,Mechanics,Absent
ATT000328,STU0007,2026-07-30,Thermodynamics,Present
ATT000329,STU0007,2026-06-17,Thermodynamics,Present
ATT000330,STU0007,2026-08-27,CAD,Present
ATT000331,STU0007,2026-04-08,CAD,Present
ATT000332,STU0007,2026-08-02,Thermodynamics,Present
ATT000333,STU0007,2026-02-10,Mechanics,Present
ATT000334,STU0007,2026-02-13,Thermodynamics,Present
ATT000335,STU0007,2026-07-06,Thermodynamics,Present
ATT000336,STU0007,2026-01-25,CAD,Present
ATT000337,STU0007,2026-01-13,CAD,Present
ATT000338,STU0007,2026-08-28,Mechanics,Present
ATT000339,STU0007,2026-04-24,Thermodynamics,Present
ATT000340,STU0007,2026-01-04,Thermodynamics,Present
ATT000341,STU0007,2026-05-03,CAD,Absent
ATT000342,STU0007,2026-04-09,Mechanics,Present
ATT000343,STU0007,2026-03-13,Mechanics,Present
ATT000344,STU0007,2026-03-10,CAD,Absent
ATT000345,STU0007,2026-01-20,CAD,Present
ATT000346,STU0007,2026-06-06,CAD,Present
ATT000347,STU0007,2026-03-27,CAD,Present
ATT000348,STU0007,2026-07-13,Manufacturing,Present
ATT000349,STU0007,2026-01-08,Thermodynamics,Present
ATT000350,STU0007,2026-03-11,CAD,Present
ATT000351,STU0008,2026-04-30,DBMS,Present
ATT000352,STU0008,2026-02-01,DBMS,Present
ATT000353,STU0008,2026-03-28,Python,Present
ATT000354,STU0008,2026-06-20,DBMS,Present
ATT000355,STU0008,2026-03-02,Web Development,Present
ATT000356,STU0008,2026-03-05,Python,Present
ATT000357,STU0008,2026-05-05,DBMS,Present
ATT000358,STU0008,2026-07-21,Web Development,Present
ATT000359,STU0008,2026-08-24,Python,Absent
ATT000360,STU0008,2026-08-16,DBMS,Absent
ATT000361,STU0008,2026-06-25,Python,Present
ATT000362,STU0008,2026-03-22,Networks,Present
ATT000363,STU0008,2026-04-03,Networks,Present
ATT000364,STU0008,2026-02-03,Python,Absent
ATT000365,STU0008,2026-07-27,DBMS,Present
ATT000366,STU0008,2026-02-09,DBMS,Present
ATT000367,STU0008,2026-04-26,Networks,Absent
ATT000368,STU0008,2026-03-06,DBMS,Present
ATT000369,STU0008,2026-01-06,Python,Present
ATT000370,STU0008,2026-08-06,Web Development,Present
ATT000371,STU0008,2026-01-01,Web Development,Present
ATT000372,STU0008,2026-05-13,Networks,Absent
ATT000373,STU0008,2026-08-26,Web Development,Present
ATT000374,STU0008,2026-06-11,Networks,Present
ATT000375,STU0008,2026-01-27,Python,Present
ATT000376,STU0008,2026-04-17,Networks,Present
ATT000377,STU0008,2026-06-26,Python,Present
ATT000378,STU0008,2026-02-05,Web Development,Absent
ATT000379,STU0008,2026-05-14,Python,Present
ATT000380,STU0008,2026-07-12,Networks,Present
ATT000381,STU0008,2026-02-06,Web Development,Present
ATT000382,STU0008,2026-01-05,DBMS,Present
ATT000383,STU0008,2026-03-01,DBMS,Present
ATT000384,STU0008,2026-05-17,Python,Present
ATT000385,STU0008,2026-07-30,DBMS,Present
ATT000386,STU0008,2026-05-23,Web Development,Absent
ATT000387,STU0008,2026-08-14,Web Development,Present
ATT000388,STU0008,2026-05-15,DBMS,Present
ATT000389,STU0008,2026-07-11,DBMS,Absent
ATT000390,STU0008,2026-01-02,Web Development,Present
ATT000391,STU0008,2026-06-30,Networks,Present
ATT000392,STU0008,2026-04-05,Networks,Present
ATT000393,STU0008,2026-05-22,Python,Present
ATT000394,STU0008,2026-05-26,Web Development,Present
ATT000395,STU0008,2026-05-31,Web Development,Present
ATT000396,STU0008,2026-04-29,DBMS,Present
ATT000397,STU0008,2026-05-07,Python,Present
ATT000398,STU0008,2026-02-19,Python,Present
ATT000399,STU0008,2026-08-23,DBMS,Present
ATT000400,STU0008,2026-08-27,Networks,Absent
ATT000401,STU0009,2026-05-24,DBMS,Present
ATT000402,STU0009,2026-08-28,DBMS,Present
ATT000403,STU0009,2026-02-02,Machine Learning,Present
ATT000404,STU0009,2026-04-10,Python,Present
ATT000405,STU0009,2026-05-21,Statistics,Present
ATT000406,STU0009,2026-05-02,Statistics,Present
ATT000407,STU0009,2026-07-18,DBMS,Present
ATT000408,STU0009,2026-07-25,Python,Absent
ATT000409,STU0009,2026-04-25,Machine Learning,Absent
ATT000410,STU0009,2026-03-10,Statistics,Present
ATT000411,STU0009,2026-03-26,Machine Learning,Present
ATT000412,STU0009,2026-02-15,DBMS,Present
ATT000413,STU0009,2026-01-12,DBMS,Absent
ATT000414,STU0009,2026-05-26,Python,Present
ATT000415,STU0009,2026-04-18,Machine Learning,Present
ATT000416,STU0009,2026-03-16,Machine Learning,Present
ATT000417,STU0009,2026-07-22,DBMS,Present
ATT000418,STU0009,2026-02-24,Python,Present
ATT000419,STU0009,2026-03-18,Machine Learning,Present
ATT000420,STU0009,2026-05-14,DBMS,Present
ATT000421,STU0009,2026-03-30,Python,Present
ATT000422,STU0009,2026-01-04,DBMS,Present
ATT000423,STU0009,2026-08-09,Statistics,Present
ATT000424,STU0009,2026-06-19,Machine Learning,Absent
ATT000425,STU0009,2026-02-17,Machine Learning,Present
ATT000426,STU0009,2026-06-16,Python,Present
ATT000427,STU0009,2026-07-29,Statistics,Present
ATT000428,STU0009,2026-02-19,Python,Present
ATT000429,STU0009,2026-04-04,Statistics,Absent
ATT000430,STU0009,2026-02-11,Python,Present
ATT000431,STU0009,2026-08-20,Machine Learning,Absent
ATT000432,STU0009,2026-04-21,DBMS,Present
ATT000433,STU0009,2026-08-18,Statistics,Present
ATT000434,STU0009,2026-05-09,DBMS,Present
ATT000435,STU0009,2026-07-03,DBMS,Present
ATT000436,STU0009,2026-04-09,Python,Present
ATT000437,STU0009,2026-07-08,DBMS,Present
ATT000438,STU0009,2026-08-15,Statistics,Present
ATT000439,STU0009,2026-05-16,DBMS,Present
ATT000440,STU0009,2026-02-05,Machine Learning,Present
ATT000441,STU0009,2026-06-03,DBMS,Present
ATT000442,STU0009,2026-03-01,Machine Learning,Present
ATT000443,STU0009,2026-08-05,Python,Present
ATT000444,STU0009,2026-02-09,DBMS,Absent
ATT000445,STU0009,2026-05-23,Statistics,Present
ATT000446,STU0009,2026-07-28,Machine Learning,Present
ATT000447,STU0009,2026-05-22,Machine Learning,Present
ATT000448,STU0009,2026-07-15,Machine Learning,Present
ATT000449,STU0009,2026-06-14,DBMS,Present
ATT000450,STU0009,2026-08-30,DBMS,Present
ATT000451,STU0010,2026-04-19,Microprocessors,Present
ATT000452,STU0010,2026-02-11,Microprocessors,Present
ATT000453,STU0010,2026-05-22,Digital Electronics,Absent
ATT000454,STU0010,2026-01-09,Microprocessors,Present
ATT000455,STU0010,2026-01-05,Networks,Present
ATT000456,STU0010,2026-01-08,Networks,Present
ATT000457,STU0010,2026-08-17,Signals,Present
ATT000458,STU0010,2026-02-03,Networks,Present
ATT000459,STU0010,2026-03-01,Microprocessors,Present
ATT000460,STU0010,2026-04-02,Signals,Present
ATT000461,STU0010,2026-06-21,Digital Electronics,Absent
ATT000462,STU0010,2026-06-17,Digital Electronics,Present
ATT000463,STU0010,2026-06-27,Microprocessors,Absent
ATT000464,STU0010,2026-05-13,Digital Electronics,Present
ATT000465,STU0010,2026-01-13,Signals,Present
ATT000466,STU0010,2026-01-30,Microprocessors,Present
ATT000467,STU0010,2026-01-16,Networks,Present
ATT000468,STU0010,2026-06-20,Digital Electronics,Present
ATT000469,STU0010,2026-02-07,Microprocessors,Present
ATT000470,STU0010,2026-07-12,Microprocessors,Absent
ATT000471,STU0010,2026-03-25,Digital Electronics,Present
ATT000472,STU0010,2026-02-09,Signals,Present
ATT000473,STU0010,2026-03-19,Signals,Present
ATT000474,STU0010,2026-05-19,Networks,Present
ATT000475,STU0010,2026-03-03,Signals,Present
ATT000476,STU0010,2026-07-10,Microprocessors,Absent
ATT000477,STU0010,2026-01-20,Digital Electronics,Present
ATT000478,STU0010,2026-06-15,Microprocessors,Present
ATT000479,STU0010,2026-07-14,Networks,Present
ATT000480,STU0010,2026-04-07,Networks,Present
ATT000481,STU0010,2026-04-03,Microprocessors,Present
ATT000482,STU0010,2026-08-26,Digital Electronics,Present
ATT000483,STU0010,2026-07-07,Networks,Present
ATT000484,STU0010,2026-05-18,Signals,Present
ATT000485,STU0010,2026-01-24,Microprocessors,Absent
ATT000486,STU0010,2026-03-11,Digital Electronics,Present
ATT000487,STU0010,2026-04-24,Digital Electronics,Present
ATT000488,STU0010,2026-06-26,Digital Electronics,Present
ATT000489,STU0010,2026-05-14,Networks,Present
ATT000490,STU0010,2026-06-18,Digital Electronics,Present
ATT000491,STU0010,2026-04-11,Networks,Present
ATT000492,STU0010,2026-04-12,Digital Electronics,Absent
ATT000493,STU0010,2026-07-04,Microprocessors,Present
ATT000494,STU0010,2026-02-10,Microprocessors,Present
ATT000495,STU0010,2026-04-06,Signals,Absent
ATT000496,STU0010,2026-05-16,Digital Electronics,Present
ATT000497,STU0010,2026-06-12,Signals,Present
ATT000498,STU0010,2026-02-17,Microprocessors,Absent
ATT000499,STU0010,2026-01-22,Signals,Absent
ATT000500,STU0010,2026-03-18,Digital Electronics,Present
ATT000501,STU0011,2026-05-04,Web Development,Present
ATT000502,STU0011,2026-08-03,Python,Present
ATT000503,STU0011,2026-07-13,DBMS,Present
ATT000504,STU0011,2026-03-20,Networks,Present
ATT000505,STU0011,2026-07-19,Web Development,Present
ATT000506,STU0011,2026-02-17,DBMS,Present
ATT000507,STU0011,2026-05-28,Web Development,Absent
ATT000508,STU0011,2026-01-21,DBMS,Present
ATT000509,STU0011,2026-04-03,Python,Present
ATT000510,STU0011,2026-02-13,Python,Present
ATT000511,STU0011,2026-06-30,Networks,Present
ATT000512,STU0011,2026-07-27,DBMS,Absent
ATT000513,STU0011,2026-08-25,Web Development,Present
ATT000514,STU0011,2026-04-24,Python,Present
ATT000515,STU0011,2026-01-20,Python,Present
ATT000516,STU0011,2026-03-01,Networks,Present
ATT000517,STU0011,2026-01-24,Python,Present
ATT000518,STU0011,2026-04-11,Web Development,Present
ATT000519,STU0011,2026-04-17,Python,Present
ATT000520,STU0011,2026-03-26,DBMS,Present
ATT000521,STU0011,2026-02-22,Python,Present
ATT000522,STU0011,2026-02-27,Web Development,Present
ATT000523,STU0011,2026-07-22,Networks,Present
ATT000524,STU0011,2026-02-03,Web Development,Present
ATT000525,STU0011,2026-05-18,Python,Present
ATT000526,STU0011,2026-02-11,DBMS,Present
ATT000527,STU0011,2026-05-25,Networks,Present
