energy_id,date,building,meter_id,units_consumed_kwh,electricity_cost,peak_hour_units,cost_per_kwh
ENG000039,2026-01-06,Library,MTR-04,500.92,4473.1,186.52,8.929769224626687
ENG000040,2026-01-06,Canteen,MTR-05,424.52,3198.52,227.4,7.5344388956939605
ENG000041,2026-01-06,Computer Lab,MTR-06,1176.68,8588.52,617.18,7.2989427881837035
ENG000042,2026-01-06,Admin Block,MTR-07,414.53,3127.58,203.4,7.544882155694401
ENG000043,2026-01-07,Academic Block,MTR-01,975.37,8117.75,365.88,8.322739063124763
ENG000044,2026-01-07,Hostel A,MTR-02,1028.23,9140.71,433.13,8.889752292774961
ENG000045,2026-01-07,Hostel B,MTR-03,1021.72,8866.36,492.55,8.67787652194339
ENG000046,2026-01-07,Library,MTR-04,671.43,4933.33,270.68,7.347497132984824
ENG000047,2026-01-07,Canteen,MTR-05,439.84,3362.95,173.51,7.645848490360131
ENG000048,2026-01-07,Computer Lab,MTR-06,1395.68,11271.55,562.7,8.076027456150406
ENG000049,2026-01-07,Admin Block,MTR-07,388.7,3268.0,173.32,8.40751222022125
ENG000050,2026-01-08,Academic Block,MTR-01,1115.51,8054.45,519.55,7.220419359754731
ENG000051,2026-01-08,Hostel A,MTR-02,1092.1,8878.78,568.58,8.130006409669445
ENG000052,2026-01-08,Hostel B,MTR-03,825.27,6113.73,360.5,7.4081573303282555
ENG000053,2026-01-08,Library,MTR-04,679.47,5824.15,286.86,8.571607282146378
ENG000054,2026-01-08,Canteen,MTR-05,401.2,2934.27,150.4,7.313733798604187
ENG000055,2026-01-08,Computer Lab,MTR-06,1078.19,9373.6,584.93,8.693829473469426
ENG000056,2026-01-08,Admin Block,MTR-07,466.14,3529.59,186.35,7.571952632256404
ENG000057,2026-01-09,Academic Block,MTR-01,1028.58,7993.56,488.33,7.771451904567463
ENG000058,2026-01-09,Hostel A,MTR-02,993.44,7065.6,475.74,7.112256401997101
ENG000059,2026-01-09,Hostel B,MTR-03,946.54,7943.68,519.57,8.39233418556004
ENG000060,2026-01-09,Library,MTR-04,626.28,4854.1,257.97,7.750686593855784
ENG000061,2026-01-09,Canteen,MTR-05,525.74,4671.44,190.17,8.885456689618442
ENG000062,2026-01-09,Computer Lab,MTR-06,1155.6,8669.46,409.91,7.502128764278297
ENG000063,2026-01-09,Admin Block,MTR-07,361.59,2605.53,143.12,7.205757902596865
ENG000064,2026-01-10,Academic Block,MTR-01,862.21,6209.16,365.18,7.201447443198292
ENG000065,2026-01-10,Hostel A,MTR-02,983.66,7160.29,367.33,7.279232661692048
ENG000066,2026-01-10,Hostel B,MTR-03,1156.63,9558.55,588.51,8.264138056249621
ENG000067,2026-01-10,Library,MTR-04,747.62,6260.67,364.37,8.37413391830074
ENG000068,2026-01-10,Canteen,MTR-05,325.27,2812.47,137.64,8.646570541396379
ENG000069,2026-01-10,Computer Lab,MTR-06,1010.11,8070.32,529.0,7.989545693043332
ENG000070,2026-01-10,Admin Block,MTR-07,405.56,3326.4,194.01,8.201992306933622
ENG000071,2026-01-11,Academic Block,MTR-01,786.36,5804.19,375.8,7.3810849992369905
ENG000072,2026-01-11,Hostel A,MTR-02,1379.29,10442.86,728.46,7.5711851749813315
ENG000073,2026-01-11,Hostel B,MTR-03,1235.94,10923.02,497.14,8.837823842581354
ENG000074,2026-01-11,Library,MTR-04,705.59,6332.56,356.81,8.974843747785542
ENG000075,2026-01-11,Canteen,MTR-05,505.78,4180.95,243.86,8.266341096919609
ENG000076,2026-01-11,Computer Lab,MTR-06,1074.38,9225.84,552.59,8.587129321096818
ENG000077,2026-01-11,Admin Block,MTR-07,410.04,3644.02,207.61,8.8869866354502
ENG000078,2026-01-12,Academic Block,MTR-01,918.51,7217.4,461.51,7.857726099879152
ENG000079,2026-01-12,Hostel A,MTR-02,1111.92,8010.61,577.81,7.204304266493992
ENG000080,2026-01-12,Hostel B,MTR-03,916.84,7709.37,321.61,8.408631822346319
ENG000081,2026-01-12,Library,MTR-04,616.87,5270.03,267.51,8.543177654935398
ENG000082,2026-01-12,Canteen,MTR-05,477.66,4155.27,177.71,8.699221203366411
ENG000083,2026-01-12,Computer Lab,MTR-06,860.92,6756.14,344.99,7.847581656832227
ENG000084,2026-01-12,Admin Block,MTR-07,375.56,2858.67,184.83,7.611753115347748
ENG000085,2026-01-13,Academic Block,MTR-01,1008.16,8777.58,417.45,8.70653467703539
ENG000086,2026-01-13,Hostel A,MTR-02,1202.5,8857.23,571.27,7.365679833679834
ENG000087,2026-01-13,Hostel B,MTR-03,1199.42,8871.01,646.73,7.39608310683497
ENG000088,2026-01-13,Library,MTR-04,652.14,5692.88,304.65,8.72953660257
ENG000089,2026-01-13,Canteen,MTR-05,462.46,4155.81,236.62,8.986312329715004
ENG000090,2026-01-13,Computer Lab,MTR-06,1047.67,8404.32,377.15,8.021915297755973
ENG000091,2026-01-13,Admin Block,MTR-07,516.31,4486.98,221.54,8.690476651624024
ENG000092,2026-01-14,Academic Block,MTR-01,905.48,6671.48,363.07,7.367893272076688
ENG000093,2026-01-14,Hostel A,MTR-02,1057.19,7408.41,424.43,7.007642902411108
ENG000094,2026-01-14,Hostel B,MTR-03,1061.97,9096.13,483.14,8.565336120606043
ENG000095,2026-01-14,Library,MTR-04,681.03,5844.44,286.8,8.581765854661322
ENG000096,2026-01-14,Canteen,MTR-05,440.26,3578.78,176.9,8.128787534638624
ENG000097,2026-01-14,Computer Lab,MTR-06,1211.57,9133.32,610.66,7.53841709517403
ENG000098,2026-01-14,Admin Block,MTR-07,452.31,4055.38,189.64,8.965930445933099
ENG000099,2026-01-15,Academic Block,MTR-01,926.76,7561.29,430.22,8.158843713582804
ENG000100,2026-01-15,Hostel A,MTR-02,1227.01,10120.24,526.65,8.247887140284105
ENG000101,2026-01-15,Hostel B,MTR-03,1143.76,8608.72,625.04,7.526683919703434
ENG000102,2026-01-15,Library,MTR-04,771.2,6104.1,371.74,7.9150674273858925
ENG000103,2026-01-15,Canteen,MTR-05,419.03,3376.58,175.99,8.058086533183783
ENG000104,2026-01-15,Computer Lab,MTR-06,1145.51,8176.05,447.82,7.137475884104024
ENG000105,2026-01-15,Admin Block,MTR-07,355.26,2557.75,162.06,7.199656589540055
ENG000106,2026-01-16,Academic Block,MTR-01,1090.22,9102.2,546.69,8.348957091229293
ENG000107,2026-01-16,Hostel A,MTR-02,1123.83,9421.82,615.9,8.383670128044278
ENG000108,2026-01-16,Hostel B,MTR-03,952.09,7767.76,497.63,8.158640464661953
ENG000109,2026-01-16,Library,MTR-04,534.35,3825.67,226.25,7.159483484607467
ENG000110,2026-01-16,Canteen,MTR-05,540.76,4425.86,245.87,8.184518085657222
ENG000111,2026-01-16,Computer Lab,MTR-06,1280.96,10377.16,621.67,8.101080439670246
ENG000112,2026-01-16,Admin Block,MTR-07,349.83,2860.36,129.99,8.176428551010492
ENG000113,2026-01-17,Academic Block,MTR-01,1022.23,8884.41,381.49,8.691204523443844
ENG000114,2026-01-17,Hostel A,MTR-02,1226.41,9046.65,446.73,7.376529871739466
ENG000115,2026-01-17,Hostel B,MTR-03,1236.47,10965.63,585.53,8.868496607277168
ENG000116,2026-01-17,Library,MTR-04,613.79,4723.16,233.37,7.69507486273807
ENG000117,2026-01-17,Canteen,MTR-05,509.43,4430.53,207.8,8.697033939893606
ENG000118,2026-01-17,Computer Lab,MTR-06,1639.29,14224.68,648.01,8.677342020020863
ENG000119,2026-01-17,Admin Block,MTR-07,369.96,3208.12,168.5,8.671532057519732
ENG000120,2026-01-18,Academic Block,MTR-01,826.06,7137.24,366.11,8.640098782170787
ENG000121,2026-01-18,Hostel A,MTR-02,1143.96,8188.79,600.25,7.158283506416308
ENG000122,2026-01-18,Hostel B,MTR-03,1116.3,9217.31,495.83,8.257018722565618
ENG000123,2026-01-18,Library,MTR-04,705.71,5515.42,251.2,7.8154199316999895
ENG000124,2026-01-18,Canteen,MTR-05,496.82,4184.82,268.24,8.423211625940985
ENG000125,2026-01-18,Computer Lab,MTR-06,1438.0,12364.74,659.87,8.598567454798332
ENG000126,2026-01-18,Admin Block,MTR-07,347.6,2888.37,188.28,8.30946490218642
ENG000127,2026-01-19,Academic Block,MTR-01,1028.32,9209.21,522.3,8.955587754784503
ENG000128,2026-01-19,Hostel A,MTR-02,1141.92,8923.75,452.2,7.814689295222082
ENG000129,2026-01-19,Hostel B,MTR-03,872.2,6773.21,305.68,7.765661545517083
ENG000130,2026-01-19,Library,MTR-04,617.42,4736.18,304.97,7.670920929027243
ENG000131,2026-01-19,Canteen,MTR-05,549.36,4602.3,262.49,8.377566622979467
ENG000132,2026-01-19,Computer Lab,MTR-06,1340.6,11079.89,713.96,8.264873937043115
ENG000133,2026-01-19,Admin Block,MTR-07,525.74,4556.38,195.5,8.666603263970783
ENG000134,2026-01-20,Academic Block,MTR-01,1014.73,8810.85,508.26,8.68295014437338
ENG000135,2026-01-20,Hostel A,MTR-02,1021.74,7607.93,432.93,7.446052811869947
ENG000136,2026-01-20,Hostel B,MTR-03,935.99,7655.49,471.95,8.179029690488147
ENG000137,2026-01-20,Library,MTR-04,460.84,3751.61,208.11,8.14080808957556
ENG000138,2026-01-20,Canteen,MTR-05,431.64,3212.19,234.54,7.441826522101752
ENG000139,2026-01-20,Computer Lab,MTR-06,1236.64,10315.49,655.31,8.341546448440935
ENG000140,2026-01-20,Admin Block,MTR-07,440.28,3640.44,214.43,8.268465521940584
ENG000141,2026-01-21,Academic Block,MTR-01,794.49,7073.18,364.18,8.902792986695868
ENG000142,2026-01-21,Hostel A,MTR-02,815.88,7280.88,350.17,8.92395940579497
ENG000143,2026-01-21,Hostel B,MTR-03,877.41,7025.06,324.13,8.006587570235125
ENG000144,2026-01-21,Library,MTR-04,671.32,5149.2,246.37,7.670261574212
ENG000145,2026-01-21,Canteen,MTR-05,390.38,3339.62,179.97,8.55479276602285
ENG000146,2026-01-21,Computer Lab,MTR-06,1151.59,9405.74,619.4,8.167611736816054
ENG000147,2026-01-21,Admin Block,MTR-07,443.86,3973.89,218.5,8.953025728833415
ENG000148,2026-01-22,Academic Block,MTR-01,1021.2,8881.88,368.8,8.697493145319232
ENG000149,2026-01-22,Hostel A,MTR-02,1134.97,8535.08,530.2,7.52009304210684
ENG000150,2026-01-22,Hostel B,MTR-03,1167.5,9183.11,500.35,7.865618843683084
ENG000151,2026-01-22,Library,MTR-04,585.63,4736.98,222.11,8.088690811604597
ENG000152,2026-01-22,Canteen,MTR-05,464.04,3671.62,231.24,7.912292043789328
ENG000153,2026-01-22,Computer Lab,MTR-06,1149.75,9041.85,429.75,7.864187866927593
ENG000154,2026-01-22,Admin Block,MTR-07,364.59,3184.61,180.18,8.734770564195399
ENG000155,2026-01-23,Academic Block,MTR-01,888.4,7430.57,323.54,8.363991445294912
ENG000156,2026-01-23,Hostel A,MTR-02,1112.24,8412.49,463.55,7.563556426670503
ENG000157,2026-01-23,Hostel B,MTR-03,1132.67,10060.63,481.33,8.882225184740479
ENG000158,2026-01-23,Library,MTR-04,588.77,4736.26,258.75,8.044329704298793
ENG000159,2026-01-23,Canteen,MTR-05,464.11,3481.39,169.5,7.501217383809872
ENG000160,2026-01-23,Computer Lab,MTR-06,1320.54,9425.41,674.49,7.137542217577658
ENG000161,2026-01-23,Admin Block,MTR-07,334.17,2968.31,138.41,8.882634587186162
ENG000162,2026-01-24,Academic Block,MTR-01,935.71,6968.67,362.23,7.447467698325336
ENG000163,2026-01-24,Hostel A,MTR-02,1233.56,10265.13,462.68,8.321549012613898
ENG000164,2026-01-24,Hostel B,MTR-03,1082.95,8632.47,544.19,7.971254443880142
ENG000165,2026-01-24,Library,MTR-04,649.61,5092.09,318.34,7.838687828081464
ENG000166,2026-01-24,Canteen,MTR-05,458.18,3733.28,196.23,8.148064079619363
ENG000167,2026-01-24,Computer Lab,MTR-06,1220.91,10108.04,490.96,8.279103291806932
ENG000168,2026-01-24,Admin Block,MTR-07,481.49,3940.89,205.61,8.184780576959023
ENG000169,2026-01-25,Academic Block,MTR-01,984.38,8856.18,529.03,8.996708588146854
ENG000170,2026-01-25,Hostel A,MTR-02,1115.62,8770.7,540.29,7.861727111382013
ENG000171,2026-01-25,Hostel B,MTR-03,1258.66,11229.35,628.94,8.921670665628525
ENG000172,2026-01-25,Library,MTR-04,740.43,6472.59,269.84,8.741663627891901
ENG000173,2026-01-25,Canteen,MTR-05,445.13,3202.9,213.22,7.195426055309685
ENG000174,2026-01-25,Computer Lab,MTR-06,1572.87,11706.64,627.39,7.442852874045535
ENG000175,2026-01-25,Admin Block,MTR-07,376.22,3156.37,184.15,8.389692201371536
ENG000176,2026-01-26,Academic Block,MTR-01,1041.08,8652.69,570.17,8.311263303492527
ENG000177,2026-01-26,Hostel A,MTR-02,1233.13,10766.96,503.4,8.73140706981421
ENG000178,2026-01-26,Hostel B,MTR-03,1388.65,11838.43,608.98,8.525135923378821
ENG000179,2026-01-26,Library,MTR-04,528.49,4511.42,187.95,8.536433991182426
ENG000180,2026-01-26,Canteen,MTR-05,451.17,3850.21,225.85,8.533834253163995
ENG000181,2026-01-26,Computer Lab,MTR-06,1254.18,9218.75,657.2,7.350420194868359
ENG000182,2026-01-26,Admin Block,MTR-07,405.49,3224.25,203.13,7.951490788922045
ENG000183,2026-01-27,Academic Block,MTR-01,836.5,6453.79,305.88,7.7152301255230125
ENG000184,2026-01-27,Hostel A,MTR-02,1160.67,8354.8,532.08,7.19825617962039
ENG000185,2026-01-27,Hostel B,MTR-03,926.63,7004.71,482.79,7.559338678868588
ENG000186,2026-01-27,Library,MTR-04,526.86,3866.89,197.51,7.339501954978552
ENG000187,2026-01-27,Canteen,MTR-05,516.24,4071.41,242.19,7.8866612428327905
ENG000188,2026-01-27,Computer Lab,MTR-06,1362.7,11750.04,682.42,8.622616863579658
ENG000189,2026-01-27,Admin Block,MTR-07,446.8,3926.22,200.04,8.787421665174573
ENG000190,2026-01-28,Academic Block,MTR-01,1021.48,7276.49,547.23,7.123477699024944
ENG000191,2026-01-28,Hostel A,MTR-02,968.76,8664.06,412.12,8.943453486931748
ENG000192,2026-01-28,Hostel B,MTR-03,978.84,7471.69,374.99,7.633208696007518
ENG000193,2026-01-28,Library,MTR-04,592.65,4326.28,319.45,7.299890323124947
ENG000194,2026-01-28,Canteen,MTR-05,498.71,3965.86,225.0,7.952236770868843
ENG000195,2026-01-28,Computer Lab,MTR-06,1062.14,8584.41,558.91,8.082183139699097
ENG000196,2026-01-28,Admin Block,MTR-07,399.77,3480.99,192.63,8.70748180203617
ENG000197,2026-01-29,Academic Block,MTR-01,1100.37,8872.14,547.06,8.06286976198915
ENG000198,2026-01-29,Hostel A,MTR-02,1111.5,9176.31,472.44,8.25578947368421
ENG000199,2026-01-29,Hostel B,MTR-03,1064.08,8647.06,412.24,8.126325088339224
ENG000200,2026-01-29,Library,MTR-04,606.64,4531.02,272.32,7.469042595278914
ENG000201,2026-01-29,Canteen,MTR-05,427.56,3242.51,200.89,7.5837543268781
ENG000202,2026-01-29,Computer Lab,MTR-06,1212.14,10136.76,530.18,8.362697378190637
ENG000203,2026-01-29,Admin Block,MTR-07,349.63,2624.88,187.8,7.507593741955782
ENG000204,2026-01-30,Academic Block,MTR-01,1009.61,7097.84,424.13,7.0302790186309565
ENG000205,2026-01-30,Hostel A,MTR-02,981.65,8483.16,402.18,8.641735852900728
ENG000206,2026-01-30,Hostel B,MTR-03,860.91,6824.19,430.82,7.926717078440255
ENG000207,2026-01-30,Library,MTR-04,707.64,6026.3,305.78,8.516053360465774
ENG000208,2026-01-30,Canteen,MTR-05,566.04,4846.5,223.6,8.562115751536995
ENG000209,2026-01-30,Computer Lab,MTR-06,1472.09,10893.29,591.18,7.399880442092536
ENG000210,2026-01-30,Admin Block,MTR-07,444.62,3818.68,233.56,8.588637488192164
ENG000211,2026-01-31,Academic Block,MTR-01,977.51,8223.01,376.83,8.412200386696812
ENG000212,2026-01-31,Hostel A,MTR-02,1101.48,7989.25,475.31,7.253195700330465
ENG000213,2026-01-31,Hostel B,MTR-03,1123.71,8422.64,492.81,7.495385820184922
ENG000214,2026-01-31,Library,MTR-04,561.53,4135.09,294.49,7.363969868039108
ENG000215,2026-01-31,Canteen,MTR-05,522.26,4094.64,233.43,7.840232834220503
ENG000216,2026-01-31,Computer Lab,MTR-06,1393.58,10328.89,622.54,7.411766816400924
ENG000217,2026-01-31,Admin Block,MTR-07,386.32,2863.51,151.53,7.4122747980948445
ENG000218,2026-02-01,Academic Block,MTR-01,647.25,4899.53,323.78,7.569764387794515
ENG000219,2026-02-01,Hostel A,MTR-02,1291.26,10779.84,506.49,8.348310952093305
ENG000220,2026-02-01,Hostel B,MTR-03,1098.41,8177.28,477.0,7.444651814896076
ENG000221,2026-02-01,Library,MTR-04,626.68,5497.13,329.24,8.771829322780368
ENG000222,2026-02-01,Canteen,MTR-05,462.67,3484.66,251.24,7.531631616486912
ENG000223,2026-02-01,Computer Lab,MTR-06,1483.22,12645.31,638.56,8.525579482477312
ENG000224,2026-02-01,Admin Block,MTR-07,453.52,3634.5,193.52,8.013979537837361
ENG000225,2026-02-02,Academic Block,MTR-01,947.77,6875.69,410.07,7.254597634447176
ENG000226,2026-02-02,Hostel A,MTR-02,1098.72,9252.52,596.61,8.421181010630551
ENG000227,2026-02-02,Hostel B,MTR-03,952.45,7252.06,385.21,7.614110976954171
ENG000228,2026-02-02,Library,MTR-04,644.85,5316.68,240.07,8.24483213150345
ENG000229,2026-02-02,Canteen,MTR-05,435.43,3313.76,159.72,7.610316239119951
ENG000230,2026-02-02,Computer Lab,MTR-06,1358.75,9785.1,580.49,7.201545538178473
ENG000231,2026-02-02,Admin Block,MTR-07,326.31,2801.47,122.99,8.585302319879869
ENG000232,2026-02-03,Academic Block,MTR-01,996.53,7377.87,459.56,7.403560354429872
ENG000233,2026-02-03,Hostel A,MTR-02,1237.22,8875.27,567.53,7.173558461712549
ENG000234,2026-02-03,Hostel B,MTR-03,1249.26,10675.46,464.68,8.54542689272049
ENG000235,2026-02-03,Library,MTR-04,498.55,3565.47,228.96,7.15167987162772
ENG000236,2026-02-03,Canteen,MTR-05,372.95,2720.68,160.36,7.295026142914599
ENG000237,2026-02-03,Computer Lab,MTR-06,1394.09,12484.83,619.48,8.955540890473356
ENG000238,2026-02-03,Admin Block,MTR-07,469.85,3297.64,174.69,7.018495264446099
ENG000239,2026-02-04,Academic Block,MTR-01,993.85,7396.93,496.93,7.442702621119888
ENG000240,2026-02-04,Hostel A,MTR-02,1234.15,10954.49,462.57,8.87614147388891
ENG000241,2026-02-04,Hostel B,MTR-03,1030.12,8953.91,410.22,8.692103832563197
ENG000242,2026-02-04,Library,MTR-04,595.49,4245.11,323.71,7.128767905422425
ENG000243,2026-02-04,Canteen,MTR-05,493.52,3643.46,241.84,7.382598476252229
ENG000244,2026-02-04,Computer Lab,MTR-06,1074.77,9544.95,497.17,8.880923360346866
ENG000245,2026-02-04,Admin Block,MTR-07,368.03,3040.28,187.5,8.260956987202132
ENG000246,2026-02-05,Academic Block,MTR-01,1115.97,8211.72,554.7,7.3583698486518445
ENG000247,2026-02-05,Hostel A,MTR-02,941.5,7072.24,335.77,7.511672862453532
ENG000248,2026-02-05,Hostel B,MTR-03,976.28,7754.77,425.96,7.94318228377105
ENG000249,2026-02-05,Library,MTR-04,475.7,3850.64,212.62,8.094681521967626
ENG000250,2026-02-05,Canteen,MTR-05,360.47,3161.08,126.49,8.769328931672538
ENG000251,2026-02-05,Computer Lab,MTR-06,1309.98,9820.41,711.09,7.496610635276874
ENG000252,2026-02-05,Admin Block,MTR-07,449.39,3403.71,199.85,7.574067068693117
ENG000253,2026-02-06,Academic Block,MTR-01,928.61,6835.27,443.56,7.360754245592876
ENG000254,2026-02-06,Hostel A,MTR-02,1220.01,9454.21,471.29,7.749288940254587
ENG000255,2026-02-06,Hostel B,MTR-03,1017.46,8456.69,512.35,8.311569988009357
ENG000256,2026-02-06,Library,MTR-04,666.44,4947.39,257.86,7.423609027069204
ENG000257,2026-02-06,Canteen,MTR-05,467.14,3831.5,247.79,8.202037932953719
ENG000258,2026-02-06,Computer Lab,MTR-06,1175.72,8393.37,599.81,7.138919130405199
ENG000259,2026-02-06,Admin Block,MTR-07,337.87,3006.32,168.55,8.897860123716223
ENG000260,2026-02-07,Academic Block,MTR-01,783.0,5499.73,321.58,7.023920817369093
ENG000261,2026-02-07,Hostel A,MTR-02,865.42,6448.24,464.17,7.450994892653278
ENG000262,2026-02-07,Hostel B,MTR-03,1191.94,8559.14,625.48,7.180848029263217
ENG000263,2026-02-07,Library,MTR-04,703.74,5796.64,344.24,8.23690567539148
ENG000264,2026-02-07,Canteen,MTR-05,453.24,3884.01,164.9,8.569433412761452
ENG000265,2026-02-07,Computer Lab,MTR-06,1081.3,8458.78,510.89,7.8227873855544265
ENG000266,2026-02-07,Admin Block,MTR-07,393.26,3326.8,182.04,8.459543304683924
ENG000267,2026-02-08,Academic Block,MTR-01,1037.89,8742.88,450.09,8.423705787703899
ENG000268,2026-02-08,Hostel A,MTR-02,986.16,7848.63,405.69,7.958779508396204
ENG000269,2026-02-08,Hostel B,MTR-03,1035.5,8624.5,370.17,8.32882665379044
ENG000270,2026-02-08,Library,MTR-04,627.21,5522.47,337.68,8.804818162975717
ENG000271,2026-02-08,Canteen,MTR-05,461.9,3411.61,190.68,7.386035938514831
ENG000272,2026-02-08,Computer Lab,MTR-06,1234.59,9560.06,557.15,7.743509991171158
ENG000273,2026-02-08,Admin Block,MTR-07,294.83,2545.93,104.96,8.635247430722789
ENG000274,2026-02-09,Academic Block,MTR-01,904.46,6946.05,423.75,7.679775777812175
ENG000275,2026-02-09,Hostel A,MTR-02,982.61,7096.65,409.19,7.222244837728091
ENG000276,2026-02-09,Hostel B,MTR-03,1213.82,9030.97,494.05,7.4401229177308
ENG000277,2026-02-09,Library,MTR-04,634.22,5581.24,232.18,8.80016398095298
ENG000278,2026-02-09,Canteen,MTR-05,474.03,3665.7,205.64,7.73305486994494
ENG000279,2026-02-09,Computer Lab,MTR-06,1257.04,11092.28,666.09,8.824126519442501
ENG000280,2026-02-09,Admin Block,MTR-07,470.3,3548.06,240.51,7.5442483521156705
ENG000281,2026-02-10,Academic Block,MTR-01,837.52,7186.53,459.7,8.580726430413602
ENG000282,2026-02-10,Hostel A,MTR-02,1023.68,8201.94,367.87,8.012210847139732
ENG000283,2026-02-10,Hostel B,MTR-03,966.45,7315.82,516.32,7.5697863314191105
ENG000284,2026-02-10,Library,MTR-04,774.94,6959.51,367.54,8.980708183859395
ENG000285,2026-02-10,Canteen,MTR-05,453.19,3780.95,242.54,8.342968732761094
ENG000286,2026-02-10,Computer Lab,MTR-06,1206.88,9826.94,452.24,8.142433381943523
ENG000287,2026-02-10,Admin Block,MTR-07,417.94,3219.3,186.04,7.702780303392832
ENG000288,2026-02-11,Academic Block,MTR-01,705.53,6038.45,320.47,8.55874307258373
ENG000289,2026-02-11,Hostel A,MTR-02,819.81,7019.35,369.11,8.562166843536918
ENG000290,2026-02-11,Hostel B,MTR-03,1061.23,8756.79,559.05,8.251547732348314
ENG000291,2026-02-11,Library,MTR-04,735.96,5830.96,389.19,7.922930594054025
ENG000292,2026-02-11,Canteen,MTR-05,503.33,3845.69,236.24,7.640494307909324
ENG000293,2026-02-11,Computer Lab,MTR-06,1278.84,9341.87,623.55,7.30495605392387
ENG000294,2026-02-11,Admin Block,MTR-07,420.24,3551.84,227.63,8.451932229202361
ENG000295,2026-02-12,Academic Block,MTR-01,860.83,6513.27,332.21,7.566267439564141
ENG000296,2026-02-12,Hostel A,MTR-02,1367.63,9712.81,683.71,7.101928153082339
ENG000297,2026-02-12,Hostel B,MTR-03,819.29,5934.82,437.2,7.243857486360141
ENG000298,2026-02-12,Library,MTR-04,706.9,5099.67,381.73,7.214132126184751
ENG000299,2026-02-12,Canteen,MTR-05,393.84,3309.32,209.63,8.402701604712574
ENG000300,2026-02-12,Computer Lab,MTR-06,1259.25,9016.66,667.25,7.160341473099066
ENG000301,2026-02-12,Admin Block,MTR-07,444.13,3702.41,202.65,8.336320446716051
ENG000302,2026-02-13,Academic Block,MTR-01,968.2,8180.18,379.06,8.448853542656476
