energy_id,date,building,meter_id,units_consumed_kwh,electricity_cost,peak_hour_units
ENG000159,2026-01-23,Canteen,MTR-05,464.11,3481.39,169.5
ENG000160,2026-01-23,Computer Lab,MTR-06,1320.54,9425.41,674.49
ENG000161,2026-01-23,Admin Block,MTR-07,334.17,2968.31,138.41
ENG000162,2026-01-24,Academic Block,MTR-01,935.71,6968.67,362.23
ENG000163,2026-01-24,Hostel A,MTR-02,1233.56,10265.13,462.68
ENG000164,2026-01-24,Hostel B,MTR-03,1082.95,8632.47,544.19
ENG000165,2026-01-24,Library,MTR-04,649.61,5092.09,318.34
ENG000166,2026-01-24,Canteen,MTR-05,458.18,3733.28,196.23
ENG000167,2026-01-24,Computer Lab,MTR-06,1220.91,10108.04,490.96
ENG000168,2026-01-24,Admin Block,MTR-07,481.49,3940.89,205.61
ENG000169,2026-01-25,Academic Block,MTR-01,984.38,8856.18,529.03
ENG000170,2026-01-25,Hostel A,MTR-02,1115.62,8770.7,540.29
ENG000171,2026-01-25,Hostel B,MTR-03,1258.66,11229.35,628.94
ENG000172,2026-01-25,Library,MTR-04,740.43,6472.59,269.84
ENG000173,2026-01-25,Canteen,MTR-05,445.13,3202.9,213.22
ENG000174,2026-01-25,Computer Lab,MTR-06,1572.87,11706.64,627.39
ENG000175,2026-01-25,Admin Block,MTR-07,376.22,3156.37,184.15
ENG000176,2026-01-26,Academic Block,MTR-01,1041.08,8652.69,570.17
ENG000177,2026-01-26,Hostel A,MTR-02,1233.13,10766.96,503.4
ENG000178,2026-01-26,Hostel B,MTR-03,1388.65,11838.43,608.98
ENG000179,2026-01-26,Library,MTR-04,528.49,4511.42,187.95
ENG000180,2026-01-26,Canteen,MTR-05,451.17,3850.21,225.85
ENG000181,2026-01-26,Computer Lab,MTR-06,1254.18,9218.75,657.2
ENG000182,2026-01-26,Admin Block,MTR-07,405.49,3224.25,203.13
ENG000183,2026-01-27,Academic Block,MTR-01,836.5,6453.79,305.88
ENG000184,2026-01-27,Hostel A,MTR-02,1160.67,8354.8,532.08
ENG000185,2026-01-27,Hostel B,MTR-03,926.63,7004.71,482.79
ENG000186,2026-01-27,Library,MTR-04,526.86,3866.89,197.51
ENG000187,2026-01-27,Canteen,MTR-05,516.24,4071.41,242.19
ENG000188,2026-01-27,Computer Lab,MTR-06,1362.7,11750.04,682.42
ENG000189,2026-01-27,Admin Block,MTR-07,446.8,3926.22,200.04
ENG000190,2026-01-28,Academic Block,MTR-01,1021.48,7276.49,547.23
ENG000191,2026-01-28,Hostel A,MTR-02,968.76,8664.06,412.12
ENG000192,2026-01-28,Hostel B,MTR-03,978.84,7471.69,374.99
ENG000193,2026-01-28,Library,MTR-04,592.65,4326.28,319.45
ENG000194,2026-01-28,Canteen,MTR-05,498.71,3965.86,225.0
ENG000195,2026-01-28,Computer Lab,MTR-06,1062.14,8584.41,558.91
ENG000196,2026-01-28,Admin Block,MTR-07,399.77,3480.99,192.63
ENG000197,2026-01-29,Academic Block,MTR-01,1100.37,8872.14,547.06
ENG000198,2026-01-29,Hostel A,MTR-02,1111.5,9176.31,472.44
ENG000199,2026-01-29,Hostel B,MTR-03,1064.08,8647.06,412.24
ENG000200,2026-01-29,Library,MTR-04,606.64,4531.02,272.32
ENG000201,2026-01-29,Canteen,MTR-05,427.56,3242.51,200.89
ENG000202,2026-01-29,Computer Lab,MTR-06,1212.14,10136.76,530.18
ENG000203,2026-01-29,Admin Block,MTR-07,349.63,2624.88,187.8
ENG000204,2026-01-30,Academic Block,MTR-01,1009.61,7097.84,424.13
ENG000205,2026-01-30,Hostel A,MTR-02,981.65,8483.16,402.18
ENG000206,2026-01-30,Hostel B,MTR-03,860.91,6824.19,430.82
ENG000207,2026-01-30,Library,MTR-04,707.64,6026.3,305.78
ENG000208,2026-01-30,Canteen,MTR-05,566.04,4846.5,223.6
ENG000209,2026-01-30,Computer Lab,MTR-06,1472.09,10893.29,591.18
ENG000210,2026-01-30,Admin Block,MTR-07,444.62,3818.68,233.56
ENG000211,2026-01-31,Academic Block,MTR-01,977.51,8223.01,376.83
ENG000212,2026-01-31,Hostel A,MTR-02,1101.48,7989.25,475.31
ENG000213,2026-01-31,Hostel B,MTR-03,1123.71,8422.64,492.81
ENG000214,2026-01-31,Library,MTR-04,561.53,4135.09,294.49
ENG000215,2026-01-31,Canteen,MTR-05,522.26,4094.64,233.43
ENG000216,2026-01-31,Computer Lab,MTR-06,1393.58,10328.89,622.54
ENG000217,2026-01-31,Admin Block,MTR-07,386.32,2863.51,151.53
ENG000218,2026-02-01,Academic Block,MTR-01,647.25,4899.53,323.78
ENG000219,2026-02-01,Hostel A,MTR-02,1291.26,10779.84,506.49
ENG000220,2026-02-01,Hostel B,MTR-03,1098.41,8177.28,477.0
ENG000221,2026-02-01,Library,MTR-04,626.68,5497.13,329.24
ENG000222,2026-02-01,Canteen,MTR-05,462.67,3484.66,251.24
ENG000223,2026-02-01,Computer Lab,MTR-06,1483.22,12645.31,638.56
ENG000224,2026-02-01,Admin Block,MTR-07,453.52,3634.5,193.52
ENG000225,2026-02-02,Academic Block,MTR-01,947.77,6875.69,410.07
ENG000226,2026-02-02,Hostel A,MTR-02,1098.72,9252.52,596.61
ENG000227,2026-02-02,Hostel B,MTR-03,952.45,7252.06,385.21
ENG000228,2026-02-02,Library,MTR-04,644.85,5316.68,240.07
ENG000229,2026-02-02,Canteen,MTR-05,435.43,3313.76,159.72
ENG000230,2026-02-02,Computer Lab,MTR-06,1358.75,9785.1,580.49
ENG000231,2026-02-02,Admin Block,MTR-07,326.31,2801.47,122.99
ENG000232,2026-02-03,Academic Block,MTR-01,996.53,7377.87,459.56
ENG000233,2026-02-03,Hostel A,MTR-02,1237.22,8875.27,567.53
ENG000234,2026-02-03,Hostel B,MTR-03,1249.26,10675.46,464.68
ENG000235,2026-02-03,Library,MTR-04,498.55,3565.47,228.96
ENG000236,2026-02-03,Canteen,MTR-05,372.95,2720.68,160.36
ENG000237,2026-02-03,Computer Lab,MTR-06,1394.09,12484.83,619.48
ENG000238,2026-02-03,Admin Block,MTR-07,469.85,3297.64,174.69
ENG000239,2026-02-04,Academic Block,MTR-01,993.85,7396.93,496.93
ENG000240,2026-02-04,Hostel A,MTR-02,1234.15,10954.49,462.57
ENG000241,2026-02-04,Hostel B,MTR-03,1030.12,8953.91,410.22
ENG000242,2026-02-04,Library,MTR-04,595.49,4245.11,323.71
ENG000243,2026-02-04,Canteen,MTR-05,493.52,3643.46,241.84
ENG000244,2026-02-04,Computer Lab,MTR-06,1074.77,9544.95,497.17
ENG000245,2026-02-04,Admin Block,MTR-07,368.03,3040.28,187.5
ENG000246,2026-02-05,Academic Block,MTR-01,1115.97,8211.72,554.7
ENG000247,2026-02-05,Hostel A,MTR-02,941.5,7072.24,335.77
ENG000248,2026-02-05,Hostel B,MTR-03,976.28,7754.77,425.96
ENG000249,2026-02-05,Library,MTR-04,475.7,3850.64,212.62
ENG000250,2026-02-05,Canteen,MTR-05,360.47,3161.08,126.49
ENG000251,2026-02-05,Computer Lab,MTR-06,1309.98,9820.41,711.09
ENG000252,2026-02-05,Admin Block,MTR-07,449.39,3403.71,199.85
ENG000253,2026-02-06,Academic Block,MTR-01,928.61,6835.27,443.56
ENG000254,2026-02-06,Hostel A,MTR-02,1220.01,9454.21,471.29
ENG000255,2026-02-06,Hostel B,MTR-03,1017.46,8456.69,512.35
ENG000256,2026-02-06,Library,MTR-04,666.44,4947.39,257.86
ENG000257,2026-02-06,Canteen,MTR-05,467.14,3831.5,247.79
ENG000258,2026-02-06,Computer Lab,MTR-06,1175.72,8393.37,599.81
ENG000259,2026-02-06,Admin Block,MTR-07,337.87,3006.32,168.55
ENG000260,2026-02-07,Academic Block,MTR-01,783.0,5499.73,321.58
ENG000261,2026-02-07,Hostel A,MTR-02,865.42,6448.24,464.17
ENG000262,2026-02-07,Hostel B,MTR-03,1191.94,8559.14,625.48
ENG000263,2026-02-07,Library,MTR-04,703.74,5796.64,344.24
ENG000264,2026-02-07,Canteen,MTR-05,453.24,3884.01,164.9
ENG000265,2026-02-07,Computer Lab,MTR-06,1081.3,8458.78,510.89
ENG000266,2026-02-07,Admin Block,MTR-07,393.26,3326.8,182.04
ENG000267,2026-02-08,Academic Block,MTR-01,1037.89,8742.88,450.09
ENG000268,2026-02-08,Hostel A,MTR-02,986.16,7848.63,405.69
ENG000269,2026-02-08,Hostel B,MTR-03,1035.5,8624.5,370.17
ENG000270,2026-02-08,Library,MTR-04,627.21,5522.47,337.68
ENG000271,2026-02-08,Canteen,MTR-05,461.9,3411.61,190.68
ENG000272,2026-02-08,Computer Lab,MTR-06,1234.59,9560.06,557.15
ENG000273,2026-02-08,Admin Block,MTR-07,294.83,2545.93,104.96
ENG000274,2026-02-09,Academic Block,MTR-01,904.46,6946.05,423.75
ENG000275,2026-02-09,Hostel A,MTR-02,982.61,7096.65,409.19
ENG000276,2026-02-09,Hostel B,MTR-03,1213.82,9030.97,494.05
ENG000277,2026-02-09,Library,MTR-04,634.22,5581.24,232.18
ENG000278,2026-02-09,Canteen,MTR-05,474.03,3665.7,205.64
ENG000279,2026-02-09,Computer Lab,MTR-06,1257.04,11092.28,666.09
ENG000280,2026-02-09,Admin Block,MTR-07,470.3,3548.06,240.51
ENG000281,2026-02-10,Academic Block,MTR-01,837.52,7186.53,459.7
ENG000282,2026-02-10,Hostel A,MTR-02,1023.68,8201.94,367.87
ENG000283,2026-02-10,Hostel B,MTR-03,966.45,7315.82,516.32
ENG000284,2026-02-10,Library,MTR-04,774.94,6959.51,367.54
ENG000285,2026-02-10,Canteen,MTR-05,453.19,3780.95,242.54
ENG000286,2026-02-10,Computer Lab,MTR-06,1206.88,9826.94,452.24
ENG000287,2026-02-10,Admin Block,MTR-07,417.94,3219.3,186.04
ENG000288,2026-02-11,Academic Block,MTR-01,705.53,6038.45,320.47
ENG000289,2026-02-11,Hostel A,MTR-02,819.81,7019.35,369.11
ENG000290,2026-02-11,Hostel B,MTR-03,1061.23,8756.79,559.05
ENG000291,2026-02-11,Library,MTR-04,735.96,5830.96,389.19
ENG000292,2026-02-11,Canteen,MTR-05,503.33,3845.69,236.24
ENG000293,2026-02-11,Computer Lab,MTR-06,1278.84,9341.87,623.55
ENG000294,2026-02-11,Admin Block,MTR-07,420.24,3551.84,227.63
ENG000295,2026-02-12,Academic Block,MTR-01,860.83,6513.27,332.21
ENG000296,2026-02-12,Hostel A,MTR-02,1367.63,9712.81,683.71
ENG000297,2026-02-12,Hostel B,MTR-03,819.29,5934.82,437.2
ENG000298,2026-02-12,Library,MTR-04,706.9,5099.67,381.73
ENG000299,2026-02-12,Canteen,MTR-05,393.84,3309.32,209.63
ENG000300,2026-02-12,Computer Lab,MTR-06,1259.25,9016.66,667.25
ENG000301,2026-02-12,Admin Block,MTR-07,444.13,3702.41,202.65
ENG000302,2026-02-13,Academic Block,MTR-01,968.2,8180.18,379.06
ENG000303,2026-02-13,Hostel A,MTR-02,1236.54,10651.26,491.54
ENG000304,2026-02-13,Hostel B,MTR-03,1193.16,8431.7,482.84
ENG000305,2026-02-13,Library,MTR-04,622.18,4986.52,283.75
ENG000306,2026-02-13,Canteen,MTR-05,463.86,3344.59,179.93
ENG000307,2026-02-13,Computer Lab,MTR-06,1436.33,11153.68,659.62
ENG000308,2026-02-13,Admin Block,MTR-07,414.66,2919.57,185.26
ENG000309,2026-02-14,Academic Block,MTR-01,971.71,7632.24,345.97
ENG000310,2026-02-14,Hostel A,MTR-02,1172.9,10204.09,422.41
ENG000311,2026-02-14,Hostel B,MTR-03,935.14,8015.2,448.16
ENG000312,2026-02-14,Library,MTR-04,597.45,4525.95,282.09
ENG000313,2026-02-14,Canteen,MTR-05,466.28,3813.24,228.26
ENG000314,2026-02-14,Computer Lab,MTR-06,1229.23,10557.74,625.35
ENG000315,2026-02-14,Admin Block,MTR-07,330.51,2566.65,132.96
ENG000316,2026-02-15,Academic Block,MTR-01,823.3,5871.09,391.92
ENG000317,2026-02-15,Hostel A,MTR-02,1039.79,8367.52,537.71
ENG000318,2026-02-15,Hostel B,MTR-03,1170.37,9067.77,514.78
ENG000319,2026-02-15,Library,MTR-04,662.46,5435.84,259.04
ENG000320,2026-02-15,Canteen,MTR-05,419.32,3416.29,149.05
ENG000321,2026-02-15,Computer Lab,MTR-06,1128.88,9353.28,609.89
ENG000322,2026-02-15,Admin Block,MTR-07,427.58,3547.38,169.17
ENG000323,2026-02-16,Academic Block,MTR-01,1112.11,8293.23,562.32
ENG000324,2026-02-16,Hostel A,MTR-02,961.73,7583.59,494.75
ENG000325,2026-02-16,Hostel B,MTR-03,908.02,8123.61,426.16
ENG000326,2026-02-16,Library,MTR-04,708.48,5577.49,342.11
ENG000327,2026-02-16,Canteen,MTR-05,438.48,3205.74,202.2
ENG000328,2026-02-16,Computer Lab,MTR-06,1232.56,10223.88,538.07
ENG000329,2026-02-16,Admin Block,MTR-07,431.77,3293.62,153.3
ENG000330,2026-02-17,Academic Block,MTR-01,1007.05,8091.43,359.73
ENG000331,2026-02-17,Hostel A,MTR-02,922.92,7750.86,477.12
ENG000332,2026-02-17,Hostel B,MTR-03,1181.05,9273.63,618.73
ENG000333,2026-02-17,Library,MTR-04,581.06,5052.35,229.1
ENG000334,2026-02-17,Canteen,MTR-05,502.61,4187.23,205.8
ENG000335,2026-02-17,Computer Lab,MTR-06,1433.18,10709.77,751.92
ENG000336,2026-02-17,Admin Block,MTR-07,360.36,2673.14,182.76
ENG000337,2026-02-18,Academic Block,MTR-01,888.34,6971.99,470.3
ENG000338,2026-02-18,Hostel A,MTR-02,711.16,5018.49,343.38
ENG000339,2026-02-18,Hostel B,MTR-03,1121.01,9950.75,577.87
ENG000340,2026-02-18,Library,MTR-04,592.04,4564.55,264.54
ENG000341,2026-02-18,Canteen,MTR-05,527.31,4058.61,253.69
ENG000342,2026-02-18,Computer Lab,MTR-06,1098.02,8396.94,442.66
ENG000343,2026-02-18,Admin Block,MTR-07,393.5,3328.53,179.35
ENG000344,2026-02-19,Academic Block,MTR-01,983.56,7197.13,436.32
ENG000345,2026-02-19,Hostel A,MTR-02,996.66,7997.37,440.04
ENG000346,2026-02-19,Hostel B,MTR-03,1021.49,7807.11,425.49
ENG000347,2026-02-19,Library,MTR-04,553.57,4904.38,289.65
ENG000348,2026-02-19,Canteen,MTR-05,394.55,3228.57,207.86
ENG000349,2026-02-19,Computer Lab,MTR-06,1449.55,12987.71,763.68
ENG000350,2026-02-19,Admin Block,MTR-07,449.37,3545.89,179.3
ENG000351,2026-02-20,Academic Block,MTR-01,1174.04,9396.44,587.57
ENG000352,2026-02-20,Hostel A,MTR-02,930.26,7282.33,378.78
ENG000353,2026-02-20,Hostel B,MTR-03,985.3,7397.44,474.01
ENG000354,2026-02-20,Library,MTR-04,610.34,5363.69,277.84
ENG000355,2026-02-20,Canteen,MTR-05,407.86,3046.86,176.66
ENG000356,2026-02-20,Computer Lab,MTR-06,1513.49,12910.04,776.22
ENG000357,2026-02-20,Admin Block,MTR-07,476.76,4262.45,202.25
ENG000358,2026-02-21,Academic Block,MTR-01,1206.33,8781.03,490.51
ENG000359,2026-02-21,Hostel A,MTR-02,1117.98,8731.74,553.11
ENG000360,2026-02-21,Hostel B,MTR-03,1031.85,7279.5,556.07
ENG000361,2026-02-21,Library,MTR-04,638.75,5473.15,295.26
ENG000362,2026-02-21,Canteen,MTR-05,364.68,3192.78,197.55
ENG000363,2026-02-21,Computer Lab,MTR-06,1235.07,8829.32,540.47
ENG000364,2026-02-21,Admin Block,MTR-07,415.69,3300.99,194.18
ENG000365,2026-02-22,Academic Block,MTR-01,1072.59,8021.55,377.13
ENG000366,2026-02-22,Hostel A,MTR-02,1232.56,9859.7,588.68
